echem_swv,rep,minutes_swv,E_swv,electrode_swv,current_swv,max_current_swv,echem_gc,minutes_gc,E_gc,electrode_gc,current_gc,max_current_gc,reactor
swv,43,1194.55,-0.273,i1,3.9481451e-6,3.9481451e-6,gc,1194.3666666666666,-0.383,i2,-4.6306265e-9,4.6306265e-9,transfer_2
swv,44,1197.05,-0.281,i1,3.9332208e-6,3.9332208e-6,gc,1196.8666666666666,-0.399,i2,-4.245599e-9,4.245599e-9,transfer_2
swv,45,1199.55,-0.276,i1,3.9113706e-6,3.9113706e-6,gc,1199.3833333333334,-0.399,i2,-3.9116954e-9,3.9116954e-9,transfer_2
swv,46,1202.05,-0.274,i1,3.9211e-6,3.9211e-6,gc,1201.8833333333334,-0.207,i2,3.5851584e-9,3.5851584e-9,transfer_2
swv,47,1204.55,-0.271,i1,3.8888602e-6,3.8888602e-6,gc,1204.3833333333334,-0.205,i2,3.4972893e-9,3.4972893e-9,transfer_2
swv,48,1207.05,-0.274,i1,3.8840785e-6,3.8840785e-6,gc,1206.8833333333334,-0.209,i2,3.6314896e-9,3.6314896e-9,transfer_2
swv,4,1097.0333333333333,-0.282,i1,8.9417244e-6,8.9417244e-6,gc,1096.8666666666666,-0.399,i2,-3.7123036e-7,3.7123036e-7,transfer_2
swv,49,1209.55,-0.28,i1,3.8785538e-6,3.8785538e-6,gc,1209.3833333333334,-0.205,i2,3.6099217e-9,3.6099217e-9,transfer_2
swv,50,1212.05,-0.271,i1,3.8882013e-6,3.8882013e-6,gc,1211.8833333333334,-0.205,i2,3.6650398e-9,3.6650398e-9,transfer_2
swv,51,1214.55,-0.273,i1,3.8484582e-6,3.8484582e-6,gc,1214.3833333333334,-0.202,i2,3.6690337e-9,3.6690337e-9,transfer_2
swv,52,1217.05,-0.284,i1,3.8294115e-6,3.8294115e-6,gc,1216.8833333333334,-0.205,i2,3.7377315e-9,3.7377315e-9,transfer_2
swv,53,1219.55,-0.273,i1,3.8485405e-6,3.8485405e-6,gc,1219.3833333333334,-0.208,i2,3.6993886e-9,3.6993886e-9,transfer_2
swv,54,1222.05,-0.273,i1,3.8363378e-6,3.8363378e-6,gc,1221.8833333333334,-0.208,i2,3.6235015e-9,3.6235015e-9,transfer_2
swv,55,1224.55,-0.269,i1,3.8180328e-6,3.8180328e-6,gc,1224.3833333333334,-0.209,i2,3.5987382e-9,3.5987382e-9,transfer_2
swv,56,1227.05,-0.276,i1,3.816961e-6,3.816961e-6,gc,1226.8833333333334,-0.201,i2,3.7952463e-9,3.7952463e-9,transfer_2
swv,57,1229.55,-0.276,i1,3.790658e-6,3.790658e-6,gc,1229.3833333333334,-0.207,i2,3.6410752e-9,3.6410752e-9,transfer_2
