echem,rep,minutes,E,electrode,current,max_current,reactor
swv,21,1137.05,-0.284,i2,3.4763434e-6,3.4763434e-6,transfer_2
swv,22,1139.55,-0.282,i2,3.4427844e-6,3.4427844e-6,transfer_2
swv,23,1142.05,-0.283,i2,3.3857261e-6,3.3857261e-6,transfer_2
swv,24,1144.55,-0.288,i2,3.3541467e-6,3.3541467e-6,transfer_2
swv,25,1147.05,-0.291,i2,3.3083847e-6,3.3083847e-6,transfer_2
swv,26,1149.55,-0.288,i2,3.2843902e-6,3.2843902e-6,transfer_2
swv,27,1152.05,-0.295,i2,3.3065708e-6,3.3065708e-6,transfer_2
swv,28,1154.55,-0.288,i2,3.2774642e-6,3.2774642e-6,transfer_2
swv,29,1157.05,-0.294,i2,3.2516564e-6,3.2516564e-6,transfer_2
swv,3,1092.0333333333333,-0.279,i2,6.9559851e-6,6.9559851e-6,transfer_2
swv,30,1159.55,-0.301,i2,3.2237867e-6,3.2237867e-6,transfer_2
swv,31,1162.05,-0.291,i2,3.1327572e-6,3.1327572e-6,transfer_2
swv,32,1164.55,-0.29,i2,3.1321804e-6,3.1321804e-6,transfer_2
swv,33,1167.05,-0.284,i2,3.1670584e-6,3.1670584e-6,transfer_2
swv,34,1169.55,-0.292,i2,3.1088457e-6,3.1088457e-6,transfer_2
swv,35,1172.05,-0.28,i2,3.1366328e-6,3.1366328e-6,transfer_2
swv,36,1174.55,-0.294,i2,3.057065e-6,3.057065e-6,transfer_2
swv,37,1177.05,-0.297,i2,3.0508809e-6,3.0508809e-6,transfer_2
swv,38,1179.55,-0.294,i2,3.0959004e-6,3.0959004e-6,transfer_2
swv,39,1182.05,-0.284,i2,2.9948121e-6,2.9948121e-6,transfer_2
swv,4,1094.5333333333333,-0.282,i2,6.426465e-6,6.426465e-6,transfer_2
swv,40,1184.55,-0.293,i2,3.0294427e-6,3.0294427e-6,transfer_2
swv,41,1187.05,-0.286,i2,2.9838457e-6,2.9838457e-6,transfer_2
swv,42,1189.55,-0.296,i2,2.9697458e-6,2.9697458e-6,transfer_2
swv,43,1192.05,-0.289,i2,3.0541789e-6,3.0541789e-6,transfer_2
swv,44,1194.55,-0.288,i2,3.0011608e-6,3.0011608e-6,transfer_2
swv,45,1197.05,-0.29,i2,2.9938224e-6,2.9938224e-6,transfer_2
swv,46,1199.55,-0.288,i2,2.9359398e-6,2.9359398e-6,transfer_2
swv,47,1202.05,-0.286,i2,2.9770845e-6,2.9770845e-6,transfer_2
swv,48,1204.55,-0.288,i2,2.9041125e-6,2.9041125e-6,transfer_2
swv,49,1207.05,-0.295,i2,2.9599341e-6,2.9599341e-6,transfer_2
swv,5,1097.0333333333333,-0.287,i2,5.9468302e-6,5.9468302e-6,transfer_2
swv,50,1209.55,-0.287,i2,2.9560588e-6,2.9560588e-6,transfer_2
swv,51,1212.05,-0.281,i2,2.9327241e-6,2.9327241e-6,transfer_2
swv,52,1214.55,-0.287,i2,2.9119456e-6,2.9119456e-6,transfer_2
swv,53,1217.05,-0.289,i2,2.8679151e-6,2.8679151e-6,transfer_2
swv,54,1219.55,-0.299,i2,2.9400626e-6,2.9400626e-6,transfer_2
swv,55,1222.05,-0.283,i2,2.9212633e-6,2.9212633e-6,transfer_2
swv,56,1224.55,-0.291,i2,2.8784693e-6,2.8784693e-6,transfer_2
swv,57,1227.05,-0.29,i2,2.9259629e-6,2.9259629e-6,transfer_2
swv,58,1229.55,-0.297,i2,2.8286672e-6,2.8286672e-6,transfer_2
swv,59,1232.05,-0.297,i2,2.9008145e-6,2.9008145e-6,transfer_2
swv,6,1099.5333333333333,-0.286,i2,5.6885847e-6,5.6885847e-6,transfer_2
swv,60,1234.55,-0.3,i2,2.8918271e-6,2.8918271e-6,transfer_2
swv,61,1237.05,-0.282,i2,2.9129353e-6,2.9129353e-6,transfer_2
swv,62,1239.55,-0.302,i2,2.8795412e-6,2.8795412e-6,transfer_2
swv,7,1102.0333333333333,-0.285,i2,5.2414362e-6,5.2414362e-6,transfer_2
swv,8,1104.55,-0.279,i2,5.0236754e-6,5.0236754e-6,transfer_2
swv,9,1107.05,-0.288,i2,4.8100369e-6,4.8100369e-6,transfer_2
swv,1,1277.7333333333333,-0.274,i1,1.129859e-5,1.129859e-5,transfer_3
swv,10,1300.2333333333333,-0.278,i1,7.2982516e-6,7.2982516e-6,transfer_3
swv,100,1525.3166666666666,-0.246,i1,4.4947328e-6,4.4947328e-6,transfer_3
swv,11,1302.7333333333333,-0.278,i1,7.0606193e-6,7.0606193e-6,transfer_3
swv,12,1305.2333333333333,-0.278,i1,6.8159779e-6,6.8159779e-6,transfer_3
swv,13,1307.7333333333333,-0.275,i1,6.5990416e-6,6.5990416e-6,transfer_3
swv,14,1310.25,-0.28,i1,6.422837e-6,6.422837e-6,transfer_3
swv,15,1312.75,-0.283,i1,6.2611448e-6,6.2611448e-6,transfer_3
swv,16,1315.25,-0.284,i1,6.1322694e-6,6.1322694e-6,transfer_3
swv,17,1317.75,-0.278,i1,5.9828626e-6,5.9828626e-6,transfer_3
swv,18,1320.25,-0.271,i1,5.8678393e-6,5.8678393e-6,transfer_3
swv,19,1322.75,-0.275,i1,5.783324e-6,5.783324e-6,transfer_3
swv,2,1280.2333333333333,-0.276,i1,1.1304031e-5,1.1304031e-5,transfer_3
swv,20,1325.25,-0.277,i1,5.6680533e-6,5.6680533e-6,transfer_3
swv,21,1327.75,-0.274,i1,5.6055533e-6,5.6055533e-6,transfer_3
swv,22,1330.25,-0.281,i1,5.5174919e-6,5.5174919e-6,transfer_3
swv,23,1332.75,-0.276,i1,5.4395732e-6,5.4395732e-6,transfer_3
swv,24,1335.25,-0.28,i1,5.3877097e-6,5.3877097e-6,transfer_3
swv,25,1337.75,-0.278,i1,5.3446688e-6,5.3446688e-6,transfer_3
swv,26,1340.25,-0.272,i1,5.2687283e-6,5.2687283e-6,transfer_3
swv,27,1342.75,-0.28,i1,5.2279138e-6,5.2279138e-6,transfer_3
swv,28,1345.25,-0.271,i1,5.1988072e-6,5.1988072e-6,transfer_3
swv,29,1347.75,-0.284,i1,5.1418319e-6,5.1418319e-6,transfer_3
swv,3,1282.7333333333333,-0.277,i1,1.0719681e-5,1.0719681e-5,transfer_3
swv,30,1350.25,-0.283,i1,5.0969766e-6,5.0969766e-6,transfer_3
swv,31,1352.75,-0.277,i1,5.0724057e-6,5.0724057e-6,transfer_3
swv,32,1355.25,-0.273,i1,5.0331573e-6,5.0331573e-6,transfer_3
swv,33,1357.75,-0.273,i1,5.0157596e-6,5.0157596e-6,transfer_3
swv,34,1360.2666666666667,-0.278,i1,5.0108124e-6,5.0108124e-6,transfer_3
swv,35,1362.7666666666667,-0.275,i1,4.9464156e-6,4.9464156e-6,transfer_3
swv,36,1365.2666666666667,-0.28,i1,4.9279461e-6,4.9279461e-6,transfer_3
swv,37,1367.7666666666667,-0.268,i1,4.9134342e-6,4.9134342e-6,transfer_3
swv,38,1370.2666666666667,-0.266,i1,4.8728671e-6,4.8728671e-6,transfer_3
swv,39,1372.7666666666667,-0.275,i1,4.863467e-6,4.863467e-6,transfer_3
swv,4,1285.2333333333333,-0.279,i1,1.0049247e-5,1.0049247e-5,transfer_3
swv,40,1375.2666666666667,-0.276,i1,4.8338661e-6,4.8338661e-6,transfer_3
swv,41,1377.7666666666667,-0.265,i1,4.8231473e-6,4.8231473e-6,transfer_3
swv,42,1380.2666666666667,-0.263,i1,4.8035226e-6,4.8035226e-6,transfer_3
swv,43,1382.7666666666667,-0.267,i1,4.8061611e-6,4.8061611e-6,transfer_3
swv,44,1385.2666666666667,-0.269,i1,4.7725207e-6,4.7725207e-6,transfer_3
swv,45,1387.7666666666667,-0.265,i1,4.759987e-6,4.759987e-6,transfer_3
swv,46,1390.2666666666667,-0.259,i1,4.7576787e-6,4.7576787e-6,transfer_3
swv,47,1392.7666666666667,-0.262,i1,4.7693047e-6,4.7693047e-6,transfer_3
swv,48,1395.2666666666667,-0.267,i1,4.7296444e-6,4.7296444e-6,transfer_3
swv,49,1397.7666666666667,-0.262,i1,4.7401986e-6,4.7401986e-6,transfer_3
swv,5,1287.7333333333333,-0.277,i1,9.4689349e-6,9.4689349e-6,transfer_3
swv,50,1400.2666666666667,-0.263,i1,4.7159565e-6,4.7159565e-6,transfer_3
swv,51,1402.7666666666667,-0.265,i1,4.7029289e-6,4.7029289e-6,transfer_3
swv,52,1405.2666666666667,-0.271,i1,4.7045783e-6,4.7045783e-6,transfer_3
swv,53,1407.7666666666667,-0.265,i1,4.7039184e-6,4.7039184e-6,transfer_3
swv,54,1410.2666666666667,-0.254,i1,4.6873456e-6,4.6873456e-6,transfer_3
swv,55,1412.7666666666667,-0.262,i1,4.6776158e-6,4.6776158e-6,transfer_3
swv,56,1415.2666666666667,-0.269,i1,4.6813266e-6,4.6813266e-6,transfer_3
swv,57,1417.7833333333333,-0.261,i1,4.6674736e-6,4.6674736e-6,transfer_3
swv,58,1420.2833333333333,-0.271,i1,4.6970749e-6,4.6970749e-6,transfer_3
swv,59,1422.7833333333333,-0.252,i1,4.671102e-6,4.671102e-6,transfer_3
swv,6,1290.2333333333333,-0.278,i1,8.8962925e-6,8.8962925e-6,transfer_3
swv,60,1425.2833333333333,-0.26,i1,4.6532914e-6,4.6532914e-6,transfer_3
swv,61,1427.7833333333333,-0.258,i1,4.6641758e-6,4.6641758e-6,transfer_3
swv,62,1430.2833333333333,-0.26,i1,4.6364712e-6,4.6364712e-6,transfer_3
swv,63,1432.7833333333333,-0.256,i1,4.7049907e-6,4.7049907e-6,transfer_3
swv,64,1435.2833333333333,-0.251,i1,4.6332552e-6,4.6332552e-6,transfer_3
swv,65,1437.7833333333333,-0.256,i1,4.616682e-6,4.616682e-6,transfer_3
swv,66,1440.2833333333333,-0.252,i1,4.6310292e-6,4.6310292e-6,transfer_3
swv,67,1442.7833333333333,-0.256,i1,4.6147857e-6,4.6147857e-6,transfer_3
swv,68,1445.2833333333333,-0.244,i1,4.606623e-6,4.606623e-6,transfer_3
swv,69,1447.7833333333333,-0.253,i1,4.6150335e-6,4.6150335e-6,transfer_3
swv,7,1292.7333333333333,-0.276,i1,8.4186368e-6,8.4186368e-6,transfer_3
