measured_phenazine,strain,amount_added,added_phenazine,material,replicate,RT,Area,Channel Name,Amount,calcConc
PYO,dPHZstar,10uM,PCN,cells,3,5.946,25,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,10uM,PYO,cells,1,3.206,80,364.0nm,0.005,0.14333333333333334
PCN,dPHZstar,10uM,PYO,cells,1,8.68,377,364.0nm,0.025,0.7166666666666668
PYO,dPHZstar,10uM,PYO,cells,1,6.004,38908,313.0nm,1.197,34.314
PCA,dPHZstar,10uM,PYO,cells,2,3.394,76,364.0nm,0.005,0.14333333333333334
PCN,dPHZstar,10uM,PYO,cells,2,8.687,921,364.0nm,0.061,1.7486666666666666
PYO,dPHZstar,10uM,PYO,cells,2,6.012,44695,313.0nm,1.375,39.41666666666667
PCA,dPHZstar,10uM,PYO,cells,3,3.267,38,364.0nm,0.002,0.05733333333333334
PCN,dPHZstar,10uM,PYO,cells,3,8.693,1124,364.0nm,0.074,2.1213333333333333
PYO,dPHZstar,10uM,PYO,cells,3,6.011,42861,313.0nm,1.318,37.78266666666667
PCA,dPHZstar,1uM,PCA,cells,1,3.4,62,364.0nm,0.004,0.11466666666666668
PCN,dPHZstar,1uM,PCA,cells,1,8.699,822,364.0nm,0.054,1.548
PYO,dPHZstar,1uM,PCA,cells,1,6.056,44,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,1uM,PCA,cells,2,2.981,69,364.0nm,0.005,0.14333333333333334
PCN,dPHZstar,1uM,PCA,cells,2,8.687,851,364.0nm,0.056,1.6053333333333335
PYO,dPHZstar,1uM,PCA,cells,2,6.039,22,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,1uM,PCA,cells,3,3.049,61,364.0nm,0.004,0.11466666666666668
PCN,dPHZstar,1uM,PCA,cells,3,8.688,786,364.0nm,0.052,1.4906666666666666
PYO,dPHZstar,1uM,PCA,cells,3,6.095,17,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,1uM,PCN,cells,1,3.066,46,364.0nm,0.003,0.08600000000000001
PCN,dPHZstar,1uM,PCN,cells,1,8.694,863,364.0nm,0.057,1.6340000000000001
PYO,dPHZstar,1uM,PCN,cells,1,5.903,16,313.0nm,0,0
PCA,dPHZstar,1uM,PCN,cells,2,2.998,72,364.0nm,0.005,0.14333333333333334
PCN,dPHZstar,1uM,PCN,cells,2,8.703,845,364.0nm,0.056,1.6053333333333335
PYO,dPHZstar,1uM,PCN,cells,2,5.985,24,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,1uM,PCN,cells,3,3.066,69,364.0nm,0.004,0.11466666666666668
PCN,dPHZstar,1uM,PCN,cells,3,8.853,653,364.0nm,0.043,1.2326666666666666
PYO,dPHZstar,1uM,PCN,cells,3,6.048,44,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,1uM,PYO,cells,1,3.398,52,364.0nm,0.003,0.08600000000000001
PCN,dPHZstar,1uM,PYO,cells,1,8.698,729,364.0nm,0.048,1.3760000000000001
PYO,dPHZstar,1uM,PYO,cells,1,6.012,1991,313.0nm,0.061,1.7486666666666666
PCA,dPHZstar,1uM,PYO,cells,2,3.168,50,364.0nm,0.003,0.08600000000000001
PCN,dPHZstar,1uM,PYO,cells,2,8.691,1344,364.0nm,0.089,2.5513333333333335
PYO,dPHZstar,1uM,PYO,cells,2,6.004,2238,313.0nm,0.069,1.9780000000000002
PCA,dPHZstar,1uM,PYO,cells,3,3.004,115,364.0nm,0.008,0.22933333333333336
PCN,dPHZstar,1uM,PYO,cells,3,8.701,1335,364.0nm,0.088,2.522666666666667
PYO,dPHZstar,1uM,PYO,cells,3,6.021,2294,313.0nm,0.071,2.0353333333333334
PCA,dPHZstar,200uM,PCA,cells,1,3.185,22915,364.0nm,1.504,43.11466666666667
PCN,dPHZstar,200uM,PCA,cells,1,8.675,859,364.0nm,0.057,1.6340000000000001
PYO,dPHZstar,200uM,PCA,cells,1,6.027,42,313.0nm,0.001,0.02866666666666667
PCA,dPHZstar,200uM,PCA,cells,2,3.182,24033,364.0nm,1.578,45.236000000000004
PCN,dPHZstar,200uM,PCA,cells,2,8.684,668,364.0nm,0.044,1.2613333333333334
PYO,dPHZstar,200uM,PCA,cells,2,5.92,24,313.0nm,0.001,0.02866666666666667
