echem,rep,minutes,E,electrode,current,max_current,reactor
swv,35,1224.8,-0.265,i2,4.0244149e-6,4.0244149e-6,transfer
swv,36,1227.3,-0.245,i2,4.0977166e-6,4.0977166e-6,transfer
swv,37,1229.8,-0.251,i2,4.0800714e-6,4.0800714e-6,transfer
swv,38,1232.3,-0.255,i2,4.0948307e-6,4.0948307e-6,transfer
swv,39,1234.8,-0.247,i2,4.0525319e-6,4.0525319e-6,transfer
swv,4,1147.2833333333333,-0.274,i2,7.8041894e-6,7.8041894e-6,transfer
swv,40,1237.3,-0.244,i2,4.1090952e-6,4.1090952e-6,transfer
swv,41,1239.8,-0.255,i2,4.1329249e-6,4.1329249e-6,transfer
swv,42,1242.3,-0.258,i2,4.0886471e-6,4.0886471e-6,transfer
swv,43,1244.8,-0.25,i2,4.1129706e-6,4.1129706e-6,transfer
swv,44,1247.3,-0.254,i2,4.0330729e-6,4.0330729e-6,transfer
swv,45,1249.8,-0.233,i2,4.0982113e-6,4.0982113e-6,transfer
swv,46,1252.3,-0.247,i2,4.1231951e-6,4.1231951e-6,transfer
swv,47,1254.8,-0.252,i2,4.1281423e-6,4.1281423e-6,transfer
swv,5,1149.7833333333333,-0.275,i2,6.8968652e-6,6.8968652e-6,transfer
swv,6,1152.2833333333333,-0.273,i2,6.2222266e-6,6.2222266e-6,transfer
swv,7,1154.7833333333333,-0.269,i2,5.7532279e-6,5.7532279e-6,transfer
swv,8,1157.2833333333333,-0.267,i2,5.3511003e-6,5.3511003e-6,transfer
swv,9,1159.7833333333333,-0.273,i2,5.0975541e-6,5.0975541e-6,transfer
swv,1,1083.8,-0.217,i1,1.8162143e-6,1.8162143e-6,soak
swv,10,1106.3,-0.268,i1,1.2650258e-5,1.2650258e-5,soak
swv,11,1108.8,-0.268,i1,1.2898528e-5,1.2898528e-5,soak
swv,12,1111.3,-0.266,i1,1.3137479e-5,1.3137479e-5,soak
swv,13,1113.8,-0.268,i1,1.338822e-5,1.338822e-5,soak
swv,14,1116.3,-0.27,i1,1.3608786e-5,1.3608786e-5,soak
swv,15,1118.8,-0.27,i1,1.3802471e-5,1.3802471e-5,soak
swv,16,1121.3,-0.27,i1,1.3950641e-5,1.3950641e-5,soak
swv,17,1123.8,-0.269,i1,1.4154384e-5,1.4154384e-5,soak
swv,18,1126.3,-0.269,i1,1.4257535e-5,1.4257535e-5,soak
swv,19,1128.8166666666666,-0.27,i1,1.4430606e-5,1.4430606e-5,soak
swv,2,1086.3,-0.229,i1,5.1556017e-6,5.1556017e-6,soak
swv,20,1131.3166666666666,-0.27,i1,1.4541423e-5,1.4541423e-5,soak
swv,21,1133.8166666666666,-0.267,i1,1.4663043e-5,1.4663043e-5,soak
swv,22,1136.3166666666666,-0.269,i1,1.4800658e-5,1.4800658e-5,soak
swv,3,1088.8,-0.257,i1,7.0701835e-6,7.0701835e-6,soak
swv,4,1091.3,-0.262,i1,8.5673837e-6,8.5673837e-6,soak
swv,5,1093.8,-0.262,i1,9.6998883e-6,9.6998883e-6,soak
swv,6,1096.3,-0.269,i1,1.0615953e-5,1.0615953e-5,soak
swv,7,1098.8,-0.267,i1,1.1318049e-5,1.1318049e-5,soak
swv,8,1101.3,-0.267,i1,1.1796117e-5,1.1796117e-5,soak
swv,9,1103.8,-0.27,i1,1.2255716e-5,1.2255716e-5,soak
swv,1,1083.8,-0.232,i2,1.3994918e-6,1.3994918e-6,soak
swv,10,1106.3,-0.269,i2,9.7670891e-6,9.7670891e-6,soak
swv,11,1108.8,-0.268,i2,1.0109026e-5,1.0109026e-5,soak
swv,12,1111.3,-0.269,i2,1.0207641e-5,1.0207641e-5,soak
swv,13,1113.8,-0.268,i2,1.0368426e-5,1.0368426e-5,soak
swv,14,1116.3,-0.268,i2,1.033256e-5,1.033256e-5,soak
swv,15,1118.8,-0.272,i2,1.063632e-5,1.063632e-5,soak
swv,16,1121.3,-0.268,i2,1.0741118e-5,1.0741118e-5,soak
swv,17,1123.8,-0.272,i2,1.0763712e-5,1.0763712e-5,soak
swv,18,1126.3,-0.272,i2,1.0913531e-5,1.0913531e-5,soak
swv,19,1128.8166666666666,-0.274,i2,1.0897946e-5,1.0897946e-5,soak
swv,2,1086.3,-0.239,i2,3.6085171e-6,3.6085171e-6,soak
swv,20,1131.3166666666666,-0.268,i2,1.1005383e-5,1.1005383e-5,soak
swv,21,1133.8166666666666,-0.271,i2,1.1157512e-5,1.1157512e-5,soak
swv,22,1136.3166666666666,-0.274,i2,1.1127004e-5,1.1127004e-5,soak
swv,3,1088.8,-0.259,i2,5.4272878e-6,5.4272878e-6,soak
swv,4,1091.3,-0.263,i2,6.6529665e-6,6.6529665e-6,soak
swv,5,1093.8,-0.268,i2,7.647197e-6,7.647197e-6,soak
swv,6,1096.3,-0.272,i2,8.3034483e-6,8.3034483e-6,soak
swv,7,1098.8,-0.272,i2,8.8284332e-6,8.8284332e-6,soak
swv,8,1101.3,-0.267,i2,9.2653572e-6,9.2653572e-6,soak
swv,9,1103.8,-0.27,i2,9.5229434e-6,9.5229434e-6,soak
