reactor,PHZadded,molecule,echem_from_gc,rep,minutes_from_gc,E_from_maxs_from_gc,t_from_maxs,PHZaddedInt,electrode_from_gc,current_from_maxs_from_gc,max_current_from_gc,E_from_mins_from_gc,t_from_mins,current_from_mins_from_gc,min_current_from_gc,signal_from_gc,echem_from_swv,sub_rep,minutes_from_swv,E_from_maxs_from_swv,electrode_from_swv,current_from_maxs_from_swv,max_current_from_swv,E_from_mins_from_swv,current_from_mins_from_swv,min_current_from_swv,signal_from_swv
A,200uM,PYO,GC,5,588.8833333333333,-0.499,199.99928,200,i2,1.4729213e-8,1.4729213e-8,-0.195,98.666832,7.3783815e-9,7.3783815e-9,7.350831500000001e-9,SWVfast,1,589.45,-0.269,i1,1.5934238e-6,1.5934238e-6,-0.11,1.4456498e-6,1.4456498e-6,1.47774e-7
A,200uM,PYO,GC,6,597.6166666666667,-0.499,199.99928,200,i2,1.4041116e-8,1.4041116e-8,-0.167,89.333427,6.9262533e-9,6.9262533e-9,7.1148627000000004e-9,SWVfast,1,598.1,-0.264,i1,1.5859699e-6,1.5859699e-6,-0.078,1.4411147e-6,1.4411147e-6,1.448552e-7
A,200uM,PYO,GC,7,609.6166666666667,-0.495,198.66597,200,i2,1.3339359e-8,1.3339359e-8,-0.203,101.33352,6.4671761e-9,6.4671761e-9,6.8721829e-9,SWVfast,1,610.0333333333333,-0.3,i1,1.6300005e-6,1.6300005e-6,-0.052,1.4181101e-6,1.4181101e-6,2.1189039999999994e-7
A,25uM,PYO,GC,1,27.666666666666668,-0.499,199.99928,25,i2,2.2999556e-8,2.2999556e-8,-0.186,95.666809,6.4218835e-9,6.4218835e-9,1.65776725e-8,SWVfast,1,28.533333333333335,-0.279,i1,1.5339579e-6,1.5339579e-6,-0.129,1.3694787e-6,1.3694787e-6,1.644792e-7
A,25uM,PYO,GC,2,36.61666666666667,-0.499,199.99928,25,i2,1.1959091e-8,1.1959091e-8,-0.199,100.00018,5.1006479e-9,5.1006479e-9,6.858443100000001e-9,SWVfast,1,37.13333333333333,-0.269,i1,1.4975628e-6,1.4975628e-6,-0.112,1.3738982e-6,1.3738982e-6,1.236646000000001e-7
A,25uM,PYO,GC,3,45.2,-0.497,199.33263,25,i2,8.1891764e-9,8.1891764e-9,-0.203,101.33352,4.3462491e-9,4.3462491e-9,3.8429273e-9,SWVfast,1,45.71666666666667,-0.265,i1,1.4781697e-6,1.4781697e-6,-0.153,1.3696107e-6,1.3696107e-6,1.0855900000000004e-7
A,25uM,PYO,GC,4,53.81666666666667,-0.499,199.99928,25,i2,6.5455401e-9,6.5455401e-9,-0.216,105.66689,3.9491597e-9,3.9491597e-9,2.5963804000000002e-9,SWVfast,1,54.31666666666667,-0.273,i1,1.4675001e-6,1.4675001e-6,-0.166,1.3764047e-6,1.3764047e-6,9.109540000000011e-8
A,25uM,PYO,GC,5,62.4,-0.499,199.99928,25,i2,5.6237104e-9,5.6237104e-9,-0.209,103.33353,3.5561443e-9,3.5561443e-9,2.0675661e-9,SWVfast,1,62.93333333333333,-0.263,i1,1.4618602e-6,1.4618602e-6,-0.149,1.3717379e-6,1.3717379e-6,9.01223e-8
A,25uM,PYO,GC,6,71.26666666666667,-0.498,199.66595,25,i2,5.0354649e-9,5.0354649e-9,-0.223,108.00024,3.2450065e-9,3.2450065e-9,1.7904584000000004e-9,SWVfast,1,71.81666666666666,-0.282,i1,1.4554781e-6,1.4554781e-6,-0.142,1.3607056e-6,1.3607056e-6,9.477250000000012e-8
A,25uM,PYO,GC,7,85.91666666666667,-0.5,200.33261,25,i2,4.6092188e-9,4.6092188e-9,-0.229,110.00025,3.1643268e-9,3.1643268e-9,1.4448920000000002e-9,SWVfast,1,86.4,-0.278,i1,1.4469031e-6,1.4469031e-6,-0.083,1.3315168e-6,1.3315168e-6,1.1538630000000005e-7
A,50uM,PYO,GC,1,147.43333333333334,-0.499,199.99928,50,i2,5.054692e-8,5.054692e-8,-0.169,90.000099,1.0903621e-8,1.0903621e-8,3.9643299e-8,SWVfast,1,147.98333333333332,-0.274,i1,1.6483547e-6,1.6483547e-6,-0.086,1.3619094e-6,1.3619094e-6,2.864452999999999e-7
A,50uM,PYO,GC,2,156.06666666666666,-0.499,199.99928,50,i2,2.4233163e-8,2.4233163e-8,-0.185,95.333473,9.0619592e-9,9.0619592e-9,1.51712038e-8,SWVfast,1,156.5,-0.267,i1,1.5594362e-6,1.5594362e-6,-0.108,1.3598151e-6,1.3598151e-6,1.9962110000000006e-7
A,50uM,PYO,GC,3,164.7,-0.496,198.9993,50,i2,1.6118268e-8,1.6118268e-8,-0.195,98.666832,7.6063627e-9,7.6063627e-9,8.511905299999998e-9,SWVfast,1,165.36666666666667,-0.253,i1,1.522299e-6,1.522299e-6,-0.086,1.3589081e-6,1.3589081e-6,1.6339090000000002e-7
A,50uM,PYO,GC,4,173.46666666666667,-0.498,199.66595,50,i2,1.3307406e-8,1.3307406e-8,-0.191,97.333488,6.6129595e-9,6.6129595e-9,6.6944465e-9,SWVfast,1,173.93333333333334,-0.27,i1,1.5044393e-6,1.5044393e-6,-0.094,1.3724635e-6,1.3724635e-6,1.3197580000000006e-7
A,50uM,PYO,GC,5,182.05,-0.483,194.66603,50,i2,1.2812703e-8,1.2812703e-8,-0.209,103.33353,5.6720384e-9,5.6720384e-9,7.1406646e-9,SWVfast,1,182.65,-0.255,i1,1.4938853e-6,1.4938853e-6,-0.151,1.3682254e-6,1.3682254e-6,1.2565990000000014e-7
A,50uM,PYO,GC,6,190.76666666666668,-0.48,193.66605,50,i2,1.0166237e-8,1.0166237e-8,-0.202,101.00018,5.4740927e-9,5.4740927e-9,4.6921443e-9,SWVfast,1,191.38333333333333,-0.264,i1,1.4843372e-6,1.4843372e-6,-0.102,1.3697755e-6,1.3697755e-6,1.1456169999999991e-7
A,50uM,PYO,GC,7,203.28333333333333,-0.49,196.99933,50,i2,1.5478578e-8,1.5478578e-8,-0.196,99.000168,5.0168527e-9,5.0168527e-9,1.0461725300000001e-8,SWVfast,1,203.95,-0.287,i1,1.5004651e-6,1.5004651e-6,-0.097,1.3359199e-6,1.3359199e-6,1.6454519999999993e-7
A,75uM,PYO,GC,1,366.95,-0.499,199.99928,75,i2,3.5385302e-8,3.5385302e-8,-0.17,90.333435,9.6609876e-9,9.6609876e-9,2.57243144e-8,SWVfast,1,367.51666666666665,-0.272,i1,1.6171871e-6,1.6171871e-6,-0.113,1.3763884e-6,1.3763884e-6,2.4079870000000003e-7
A,75uM,PYO,GC,2,375.68333333333334,-0.499,199.99928,75,i2,1.6944e-8,1.6944e-8,-0.185,95.333473,7.5586737e-9,7.5586737e-9,9.385326299999999e-9,SWVfast,1,376.1333333333333,-0.271,i1,1.5546044e-6,1.5546044e-6,-0.083,1.392269e-6,1.392269e-6,1.623354e-7
A,75uM,PYO,GC,3,384.21666666666664,-0.499,199.99928,75,i2,1.1411904e-8,1.1411904e-8,-0.206,102.33353,6.3158012e-9,6.3158012e-9,5.096102800000001e-9,SWVfast,1,384.71666666666664,-0.273,i1,1.5222331e-6,1.5222331e-6,-0.102,1.3970183e-6,1.3970183e-6,1.252148e-7
A,75uM,PYO,GC,4,392.81666666666666,-0.498,199.66595,75,i2,9.3880335e-9,9.3880335e-9,-0.204,101.66685,5.5566098e-9,5.5566098e-9,3.8314237e-9,SWVfast,1,393.35,-0.243,i1,1.5220846e-6,1.5220846e-6,-0.136,1.3967051e-6,1.3967051e-6,1.2537950000000007e-7
A,75uM,PYO,GC,5,401.43333333333334,-0.499,199.99928,75,i2,8.0777411e-9,8.0777411e-9,-0.206,102.33353,5.0473674e-9,5.0473674e-9,3.0303736999999997e-9,SWVfast,1,401.9166666666667,-0.268,i1,1.5233708e-6,1.5233708e-6,-0.085,1.3980903e-6,1.3980903e-6,1.252805000000001e-7
A,75uM,PYO,GC,6,410.01666666666665,-0.498,199.66595,75,i2,7.2979414e-9,7.2979414e-9,-0.216,105.66689,4.5779052e-9,4.5779052e-9,2.7200361999999997e-9,SWVfast,1,410.56666666666666,-0.273,i1,1.514977e-6,1.514977e-6,-0.092,1.4017512e-6,1.4017512e-6,1.1322579999999981e-7
A,75uM,PYO,GC,7,422.06666666666666,-0.5,200.33261,75,i2,7.9311597e-9,7.9311597e-9,-0.218,106.33356,4.3280366e-9,4.3280366e-9,3.6031230999999996e-9,SWVfast,1,423.55,-0.269,i1,1.5130313e-6,1.5130313e-6,-0.127,1.4004484e-6,1.4004484e-6,1.125829e-7
