Dec. 9, 2005   03:01:15
Square Wave Voltammetry
File: d:\ida_biofilms\11_28_18_blankidapyo\75um_transfer\75um_pyo_transfer_swv_37.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 6.1050599e-7, 2.4508631e-7
0.098, 6.2157130e-7, 3.7003713e-7
0.097, 5.5054545e-7, 3.8738543e-7
0.096, 6.2846448e-7, 4.2740865e-7
0.095, 5.8085556e-7, 4.0194681e-7
0.094, 5.7923944e-7, 3.7002064e-7
0.093, 6.2180220e-7, 4.0806489e-7
0.092, 5.5039703e-7, 3.0824611e-7
0.091, 6.1293019e-7, 3.9589469e-7
0.090, 5.4991881e-7, 3.5885634e-7
0.089, 5.7457254e-7, 4.1047255e-7
0.088, 5.8047624e-7, 4.4254716e-7
0.087, 5.4304212e-7, 3.6472710e-7
0.086, 5.7724407e-7, 3.5352980e-7
0.085, 5.2368193e-7, 3.0644858e-7
0.084, 5.6220438e-7, 3.4211820e-7
0.083, 5.2526502e-7, 3.6945994e-7
0.082, 5.4218458e-7, 3.2030084e-7
0.081, 5.5930207e-7, 4.2622128e-7
0.080, 5.0155126e-7, 3.6462814e-7
0.079, 5.5158432e-7, 3.3819339e-7
0.078, 5.0755392e-7, 3.4287677e-7
0.077, 5.3387322e-7, 2.8359233e-7
0.076, 5.2094447e-7, 3.7691376e-7
0.075, 5.0019901e-7, 3.3108586e-7
0.074, 5.1385337e-7, 3.6114858e-7
0.073, 4.8440086e-7, 3.8255365e-7
0.072, 5.2510018e-7, 3.1398488e-7
0.071, 4.8073986e-7, 3.3372436e-7
0.070, 5.0287053e-7, 2.6510617e-7
0.069, 5.1139625e-7, 2.9348681e-7
0.068, 4.6246805e-7, 3.3446645e-7
0.067, 5.0384347e-7, 3.4046911e-7
0.066, 4.4708213e-7, 3.5328247e-7
0.065, 4.9817066e-7, 3.3509309e-7
0.064, 4.8898528e-7, 3.1593081e-7
0.063, 4.8113566e-7, 2.7719392e-7
0.062, 4.8776496e-7, 2.6581523e-7
0.061, 4.4718109e-7, 3.1517223e-7
0.060, 4.8989227e-7, 3.0573949e-7
0.059, 4.5099046e-7, 3.2381340e-7
0.058, 4.5616858e-7, 3.2030084e-7
0.057, 4.7561124e-7, 3.0969727e-7
0.056, 4.3994163e-7, 2.5451902e-7
0.055, 4.7453932e-7, 2.3479606e-7
0.054, 4.2072986e-7, 2.3482903e-7
0.053, 4.5809801e-7, 3.1835495e-7
0.052, 4.5381040e-7, 3.2267553e-7
0.051, 4.4648849e-7, 3.2293937e-7
0.050, 4.6386981e-7, 3.3224018e-7
0.049, 4.3087169e-7, 2.8596702e-7
0.048, 4.5803205e-7, 3.0603633e-7
0.047, 4.2485254e-7, 2.2790289e-7
0.046, 4.5577281e-7, 2.8929816e-7
0.045, 4.5260657e-7, 2.9642217e-7
