Dec. 9, 2005   02:05:05
Square Wave Voltammetry
File: d:\ida_biofilms\11_28_18_blankidapyo\25um_transfer\25um_pyo_transfer_swv4_2.txt
Data Source:  Experiment
Instrument Model:  CHI760B
Header: 
Note: 

Init E (V) = 0.1
Final E (V) = -0.5
Incr E (V) = 0.001
Amplitude (V) = 0.025
Frequency (Hz) = 300
Quiet Time (sec) = 2
Sensitivity (A/V) = 1e-6
Sens 2 (A/V) = 1e-6

Potential/V, i1/A, i2/A

0.099, 5.9258048e-7, 3.4915976e-7
0.098, 6.0827978e-7, 4.7061451e-7
0.097, 5.8077308e-7, 4.2463816e-7
0.096, 5.8783115e-7, 3.8580234e-7
0.095, 6.2894276e-7, 3.9228323e-7
0.094, 5.5371163e-7, 3.3827584e-7
0.093, 6.0659767e-7, 4.1213815e-7
0.092, 5.4713183e-7, 3.8562092e-7
0.091, 5.9142616e-7, 4.1635980e-7
0.090, 5.6558508e-7, 4.4170616e-7
0.089, 5.5542671e-7, 3.7185112e-7
0.088, 5.7988257e-7, 3.9889602e-7
0.087, 5.1586528e-7, 3.1830547e-7
0.086, 5.8050921e-7, 3.9533401e-7
0.085, 5.3044312e-7, 3.9563082e-7
0.084, 5.3845770e-7, 3.7376404e-7
0.083, 5.4413050e-7, 4.1692050e-7
0.082, 5.0565745e-7, 3.5486556e-7
0.081, 5.4955598e-7, 3.6383656e-7
0.080, 4.9526830e-7, 2.9657059e-7
0.079, 5.2666678e-7, 3.0417286e-7
0.078, 5.2346752e-7, 3.7467106e-7
0.077, 5.1228676e-7, 3.3819336e-7
0.076, 5.2196685e-7, 3.9972056e-7
0.075, 4.7293969e-7, 3.3461490e-7
0.074, 5.1434813e-7, 3.5026466e-7
0.073, 4.8941399e-7, 3.0099011e-7
0.072, 4.9975381e-7, 2.8651118e-7
0.071, 5.0935142e-7, 3.7651802e-7
0.070, 4.5161710e-7, 3.3570325e-7
0.069, 4.9678539e-7, 3.7143883e-7
0.068, 4.3911706e-7, 3.5118813e-7
0.067, 4.9602687e-7, 3.2664980e-7
0.066, 4.7262643e-7, 3.3665975e-7
0.065, 4.7193379e-7, 2.4106257e-7
0.064, 4.8924915e-7, 3.3527448e-7
0.063, 4.2777140e-7, 3.2373094e-7
0.062, 4.9187116e-7, 3.5158391e-7
0.061, 4.4793967e-7, 3.2312079e-7
0.060, 4.5451949e-7, 2.9538324e-7
0.059, 4.7613895e-7, 3.3448293e-7
0.058, 4.4785722e-7, 2.1937714e-7
0.057, 4.6164354e-7, 2.7559429e-7
0.056, 4.1142903e-7, 2.9637272e-7
0.055, 4.5633348e-7, 3.4135962e-7
0.054, 4.4282751e-7, 3.4716436e-7
0.053, 4.3255375e-7, 2.9665304e-7
0.052, 4.6390278e-7, 3.2259308e-7
0.051, 4.0954907e-7, 2.7516552e-7
0.050, 4.4914350e-7, 2.6919585e-7
0.049, 4.1297918e-7, 2.8154747e-7
0.048, 4.4025495e-7, 3.1032391e-7
0.047, 4.3585192e-7, 3.7754043e-7
0.046, 4.0270541e-7, 2.8570315e-7
0.045, 4.4826947e-7, 2.6101642e-7
0.044, 3.9386634e-7, 2.8608247e-7
0.043, 4.3116853e-7, 2.5704213e-7
0.042, 4.1924568e-7, 2.8641227e-7
0.041, 4.0201280e-7, 2.6856921e-7
0.040, 4.3725362e-7, 3.0827906e-7
0.039, 3.7953583e-7, 3.1433120e-7
0.038, 4.3506037e-7, 2.7112529e-7
0.037, 3.8044283e-7, 2.6942672e-7
0.036, 4.1911375e-7, 2.1223663e-7
0.035, 4.1192374e-7, 3.0319990e-7
0.034, 3.9015589e-7, 2.6563384e-7
0.033, 4.1944355e-7, 2.9162334e-7
0.032, 3.6322643e-7, 3.0850993e-7
0.031, 4.1449633e-7, 2.8525793e-7
0.030, 3.9211830e-7, 2.6063714e-7
0.029, 3.8768226e-7, 1.9696614e-7
0.028, 4.0916979e-7, 2.2810077e-7
0.027, 3.6528775e-7, 2.7681460e-7
0.026, 4.0737228e-7, 2.6903098e-7
0.025, 3.6195661e-7, 3.1833844e-7
0.024, 3.9666975e-7, 2.6419914e-7
0.023, 3.9881357e-7, 2.6360547e-7
0.022, 3.7364862e-7, 2.2622083e-7
0.021, 3.9851676e-7, 2.1090088e-7
0.020, 3.5905424e-7, 2.7016881e-7
0.019, 3.9127730e-7, 2.6738189e-7
0.018, 3.6713476e-7, 2.8059100e-7
0.017, 3.8519215e-7, 2.6101642e-7
0.016, 3.8415325e-7, 2.6779415e-7
0.015, 3.4709842e-7, 2.4948935e-7
0.014, 3.9068360e-7, 2.0333160e-7
0.013, 3.3759972e-7, 2.6236864e-7
0.012, 3.7566048e-7, 2.6665629e-7
0.011, 3.7829903e-7, 2.9528428e-7
0.010, 3.5786692e-7, 2.5850983e-7
0.009, 3.8613217e-7, 2.4130992e-7
0.008, 3.3299875e-7, 2.5503024e-7
0.007, 4.0148507e-7, 2.0412315e-7
0.006, 3.5620133e-7, 2.5074263e-7
0.005, 3.6513936e-7, 2.4889567e-7
0.004, 3.8761632e-7, 3.0585491e-7
0.003, 3.3910035e-7, 2.9023812e-7
0.002, 3.9220077e-7, 2.4315688e-7
0.001, 3.3576924e-7, 2.3794578e-7
-0.000, 3.7384649e-7, 2.1395168e-7
-0.001, 3.6423233e-7, 2.4238182e-7
-0.002, 3.5272177e-7, 2.3174525e-7
-0.003, 3.8372448e-7, 2.7267541e-7
-0.004, 3.2839785e-7, 2.8474670e-7
-0.005, 3.8961170e-7, 2.8413652e-7
-0.006, 3.4673559e-7, 2.3446623e-7
-0.007, 3.6815715e-7, 1.9975309e-7
-0.008, 3.6921259e-7, 2.3332836e-7
-0.009, 3.4807135e-7, 2.2861198e-7
-0.010, 3.7404436e-7, 2.4652101e-7
-0.011, 3.3273491e-7, 2.5501376e-7
-0.012, 3.7448964e-7, 2.6525456e-7
-0.013, 3.6845401e-7, 2.3256979e-7
-0.014, 3.5120462e-7, 2.3967732e-7
-0.015, 3.8224033e-7, 2.1673861e-7
-0.016, 3.2503374e-7, 2.5994453e-7
-0.017, 3.7180160e-7, 2.6002698e-7
-0.018, 3.3466435e-7, 2.8433442e-7
-0.019, 3.8326272e-7, 2.6800853e-7
-0.020, 3.8006351e-7, 2.5136930e-7
-0.021, 3.4023824e-7, 2.2236198e-7
-0.022, 3.8456551e-7, 1.7358218e-7
-0.023, 3.2894206e-7, 2.3377362e-7
-0.024, 3.7587486e-7, 2.5854280e-7
-0.025, 3.5369476e-7, 2.6711803e-7
-0.026, 3.4734575e-7, 2.7574271e-7
-0.027, 3.8539008e-7, 2.4140886e-7
-0.028, 3.2879365e-7, 2.3026107e-7
-0.029, 3.8491183e-7, 2.0249057e-7
-0.030, 3.2937078e-7, 1.8646151e-7
-0.031, 3.7315388e-7, 2.6276444e-7
-0.032, 3.6667299e-7, 2.7922226e-7
-0.033, 3.4295920e-7, 2.9454222e-7
-0.034, 3.8692372e-7, 2.6381986e-7
-0.035, 3.3649482e-7, 2.2447281e-7
-0.036, 3.8027790e-7, 2.3580199e-7
-0.037, 3.4526792e-7, 1.8609870e-7
-0.038, 3.6467759e-7, 2.2938707e-7
-0.039, 3.7450613e-7, 2.6246761e-7
-0.040, 3.3555486e-7, 2.6757976e-7
-0.041, 3.8954573e-7, 2.6647490e-7
-0.042, 3.3568676e-7, 2.2699589e-7
