PHZadded_from_swv,treatment,reactor,run,echem_from_swv,rep,minutes_from_swv,E_from_maxs_from_swv,PHZaddedInt_from_swv,electrode_from_swv,current_from_maxs_from_swv,max_current_from_swv,E_from_mins_from_swv,current_from_mins_from_swv,min_current_from_swv,signal_from_swv,PHZadded_from_gc,echem_from_gc,minutes_from_gc,E_from_maxs_from_gc,t_from_maxs,PHZaddedInt_from_gc,electrode_from_gc,current_from_maxs_from_gc,max_current_from_gc,E_from_mins_from_gc,t_from_mins,current_from_mins_from_gc,min_current_from_gc,signal_from_gc
75uM,control,transfer,4,SWVslow,11,1248.0333333333333,-0.266,75,i1,7.6851734e-7,7.6851734e-7,-0.376,7.0177316e-7,7.0177316e-7,6.674418e-8,75uM,GC,1247.4666666666667,-0.399,133.33363,75,i2,9.3860368e-9,9.3860368e-9,-0.205,68.666603,4.3272377e-9,4.3272377e-9,5.0587991000000005e-9
75uM,control,transfer,4,SWVslow,12,1251.1166666666666,-0.26,75,i1,7.6462061e-7,7.6462061e-7,-0.37,7.0125799e-7,7.0125799e-7,6.336261999999993e-8,75uM,GC,1250.55,-0.399,133.33363,75,i2,9.9996846e-9,9.9996846e-9,-0.204,68.333267,4.318371e-9,4.318371e-9,5.6813136000000004e-9
75uM,control,transfer,4,SWVslow,1,1212.7333333333333,-0.271,75,i1,1.1532547e-6,1.1532547e-6,-0.376,7.7140919e-7,7.7140919e-7,3.8184551e-7,75uM,GC,1212.1833333333334,-0.399,133.33363,75,i2,1.5054864e-7,1.5054864e-7,-0.183,61.333244,9.5933279e-9,9.5933279e-9,1.409553121e-7
75uM,control,transfer,4,SWVslow,2,1215.7333333333333,-0.274,75,i1,9.9017745e-7,9.9017745e-7,-0.376,7.5545211e-7,7.5545211e-7,2.3472533999999997e-7,75uM,GC,1215.1666666666667,-0.399,133.33363,75,i2,5.3847373e-8,5.3847373e-8,-0.161,53.999939,7.2073556e-9,7.2073556e-9,4.66400174e-8
75uM,control,transfer,4,SWVslow,3,1219.0333333333333,-0.271,75,i1,9.1290951e-7,9.1290951e-7,-0.377,7.4096499e-7,7.4096499e-7,1.7194451999999992e-7,75uM,GC,1218.3666666666666,-0.399,133.33363,75,i2,4.4127507e-8,4.4127507e-8,-0.206,68.999939,5.9285368e-9,5.9285368e-9,3.8198970200000004e-8
75uM,control,transfer,4,SWVslow,4,1222.3,-0.27,75,i1,8.4866787e-7,8.4866787e-7,-0.378,7.2566445e-7,7.2566445e-7,1.2300342000000005e-7,75uM,GC,1221.4666666666667,-0.399,133.33363,75,i2,2.503613e-8,2.503613e-8,-0.202,67.666595,5.389019e-9,5.389019e-9,1.9647111e-8
75uM,control,transfer,4,SWVslow,5,1225.9833333333333,-0.271,75,i1,8.3234869e-7,8.3234869e-7,-0.373,7.1522021e-7,7.1522021e-7,1.1712847999999998e-7,75uM,GC,1225.4,-0.399,133.33363,75,i2,3.0021358e-8,3.0021358e-8,-0.181,60.66658,5.5566098e-9,5.5566098e-9,2.4464748200000003e-8
75uM,control,transfer,4,SWVslow,6,1232.6,-0.269,75,i1,7.9709446e-7,7.9709446e-7,-0.372,7.1044894e-7,7.1044894e-7,8.664552e-8,75uM,GC,1232.0666666666666,-0.399,133.33363,75,i2,1.3732375e-8,1.3732375e-8,-0.171,57.33326,2.005889e-9,2.005889e-9,1.1726486000000001e-8
75uM,control,transfer,4,SWVslow,7,1235.6666666666667,-0.266,75,i1,7.8121263e-7,7.8121263e-7,-0.379,7.0595831e-7,7.0595831e-7,7.525432000000004e-8,75uM,GC,1235.0833333333333,-0.399,133.33363,75,i2,1.450243e-8,1.450243e-8,-0.199,66.666588,4.4410684e-9,4.4410684e-9,1.00613616e-8
75uM,control,transfer,4,SWVslow,8,1238.85,-0.265,75,i1,7.8380049e-7,7.8380049e-7,-0.377,7.0481002e-7,7.0481002e-7,7.899046999999995e-8,75uM,GC,1238.2833333333333,-0.399,133.33363,75,i2,1.3243102e-8,1.3243102e-8,-0.2,66.999924,5.2409992e-9,5.2409992e-9,8.002102799999999e-9
