PHZadded_from_swv,treatment,reactor,run,echem_from_swv,rep,minutes_from_swv,E_from_maxs_from_swv,PHZaddedInt_from_swv,electrode_from_swv,current_from_maxs_from_swv,max_current_from_swv,E_from_mins_from_swv,current_from_mins_from_swv,min_current_from_swv,signal_from_swv,PHZadded_from_gc,echem_from_gc,minutes_from_gc,E_from_maxs_from_gc,t_from_maxs,PHZaddedInt_from_gc,electrode_from_gc,current_from_maxs_from_gc,max_current_from_gc,E_from_mins_from_gc,t_from_mins,current_from_mins_from_gc,min_current_from_gc,signal_from_gc
75uM,control,soak,2,SWV,0,987.4833333333333,-0.223,75,i1,7.7170016e-6,7.7170016e-6,-0.015,1.07368e-6,1.07368e-6,6.6433216e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,control,transfer,2,SWV,0,991.1666666666666,-0.222,75,i1,6.7434321e-6,6.7434321e-6,-0.036,1.1358271e-6,1.1358271e-6,5.607605e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,control,transfer,2,SWV,9,1016.6166666666667,-0.218,75,i1,1.433834e-6,1.433834e-6,-0.044,1.1391126e-6,1.1391126e-6,2.9472140000000003e-7,75uM,GC,1016.3833333333333,-0.399,133.33363,75,i2,1.5729256e-8,1.5729256e-8,-0.205,68.666603,4.2445314e-9,4.2445314e-9,1.1484724600000001e-8
75uM,control,transfer,2,SWV,10,1019.7166666666667,-0.218,75,i1,1.4017461e-6,1.4017461e-6,-0.067,1.1250229e-6,1.1250229e-6,2.767231999999999e-7,75uM,GC,1019.2166666666667,-0.399,133.33363,75,i2,1.1112296e-8,1.1112296e-8,-0.21,70.333282,4.2233768e-9,4.2233768e-9,6.8889192e-9
75uM,control,transfer,2,SWV,11,1022.4666666666667,-0.22,75,i1,1.3688434e-6,1.3688434e-6,-0.064,1.1262895e-6,1.1262895e-6,2.425539000000001e-7,75uM,GC,1022.15,-0.399,133.33363,75,i2,9.7135944e-9,9.7135944e-9,-0.208,69.666611,3.8107975e-9,3.8107975e-9,5.9027969e-9
75uM,control,transfer,2,SWV,12,1025.2166666666667,-0.216,75,i1,1.3633008e-6,1.3633008e-6,-0.059,1.124084e-6,1.124084e-6,2.3921680000000014e-7,75uM,GC,1024.95,-0.399,133.33363,75,i2,8.4999678e-9,8.4999678e-9,-0.207,69.333275,3.6040948e-9,3.6040948e-9,4.895873e-9
75uM,control,transfer,2,SWV,13,1027.9666666666667,-0.214,75,i1,1.3571353e-6,1.3571353e-6,-0.051,1.1279712e-6,1.1279712e-6,2.2916410000000007e-7,75uM,GC,1027.6666666666667,-0.399,133.33363,75,i2,1.0945657e-8,1.0945657e-8,-0.205,68.666603,3.5503214e-9,3.5503214e-9,7.3953356000000005e-9
75uM,control,transfer,2,SWV,14,1030.5833333333333,-0.218,75,i1,1.352715e-6,1.352715e-6,-0.057,1.1222165e-6,1.1222165e-6,2.3049850000000002e-7,75uM,GC,1030.3666666666666,-0.399,133.33363,75,i2,1.0811991e-8,1.0811991e-8,-0.213,71.33329,3.543112e-9,3.543112e-9,7.268879e-9
75uM,control,transfer,2,SWV,15,1033.3666666666666,-0.22,75,i1,1.3291955e-6,1.3291955e-6,-0.057,1.1257948e-6,1.1257948e-6,2.0340070000000003e-7,75uM,GC,1033.1,-0.399,133.33363,75,i2,8.8444718e-9,8.8444718e-9,-0.213,71.33329,3.6754773e-9,3.6754773e-9,5.1689945e-9
75uM,control,transfer,2,SWV,1,994.1166666666667,-0.22,75,i1,2.7772321e-6,2.7772321e-6,-0.047,1.2342065e-6,1.2342065e-6,1.5430255999999998e-6,75uM,GC,993.8166666666667,-0.399,133.33363,75,i2,1.5865442e-7,1.5865442e-7,-0.154,51.666615,9.71513e-9,9.71513e-9,1.4893929e-7
75uM,control,transfer,2,SWV,2,997.3666666666667,-0.221,75,i1,2.2016418e-6,2.2016418e-6,-0.034,1.2129673e-6,1.2129673e-6,9.886744999999998e-7,75uM,GC,996.8833333333333,-0.399,133.33363,75,i2,7.9615504e-8,7.9615504e-8,-0.175,58.666588,7.7316562e-9,7.7316562e-9,7.18838478e-8
75uM,control,transfer,2,SWV,3,1000.2666666666667,-0.221,75,i1,1.7946443e-6,1.7946443e-6,-0.033,1.2112031e-6,1.2112031e-6,5.834412e-7,75uM,GC,1000.0166666666667,-0.399,133.33363,75,i2,4.2046608e-8,4.2046608e-8,-0.185,61.999908,5.9461382e-9,5.9461382e-9,3.61004698e-8
75uM,control,transfer,2,SWV,4,1002.9666666666667,-0.22,75,i1,1.6607534e-6,1.6607534e-6,-0.029,1.1791338e-6,1.1791338e-6,4.816195999999999e-7,75uM,GC,1002.7166666666667,-0.399,133.33363,75,i2,3.1071963e-8,3.1071963e-8,-0.191,63.999901,5.0640163e-9,5.0640163e-9,2.6007946699999998e-8
75uM,control,transfer,2,SWV,5,1005.7166666666667,-0.223,75,i1,1.5741007e-6,1.5741007e-6,-0.046,1.167728e-6,1.167728e-6,4.063727000000001e-7,75uM,GC,1005.45,-0.399,133.33363,75,i2,2.2774886e-8,2.2774886e-8,-0.192,64.333237,4.7432658e-9,4.7432658e-9,1.80316202e-8
75uM,control,transfer,2,SWV,6,1008.4166666666666,-0.214,75,i1,1.521512e-6,1.521512e-6,-0.041,1.1643531e-6,1.1643531e-6,3.5715890000000014e-7,75uM,GC,1008.1666666666666,-0.399,133.33363,75,i2,2.0067537e-8,2.0067537e-8,-0.199,66.666588,4.4176707e-9,4.4176707e-9,1.56498663e-8
75uM,control,transfer,2,SWV,7,1011.2166666666667,-0.222,75,i1,1.4712601e-6,1.4712601e-6,-0.046,1.1506005e-6,1.1506005e-6,3.2065960000000015e-7,75uM,GC,1010.85,-0.399,133.33363,75,i2,1.5500689e-8,1.5500689e-8,-0.187,62.666573,4.5742636e-9,4.5742636e-9,1.0926425400000001e-8
75uM,control,transfer,2,SWV,8,1013.9166666666666,-0.217,75,i1,1.4299902e-6,1.4299902e-6,-0.049,1.1459645e-6,1.1459645e-6,2.840257e-7,75uM,GC,1013.6666666666666,-0.399,133.33363,75,i2,1.2525063e-8,1.2525063e-8,-0.202,67.666595,4.0686743e-9,4.0686743e-9,8.4563887e-9
75uM,control,soak,3,SWV,0,1131.2166666666667,-0.269,75,i1,6.8981681e-6,6.8981681e-6,-0.011,1.8591071e-6,1.8591071e-6,5.0390610000000006e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,control,transfer,3,SWV,0,1134.15,-0.265,75,i1,4.9628575e-6,4.9628575e-6,-0.397,1.7208317e-6,1.7208317e-6,3.2420258e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,control,transfer,3,SWV,9,1159.4333333333334,-0.237,75,i1,1.8880814e-6,1.8880814e-6,-0.398,1.3868271e-6,1.3868271e-6,5.012543e-7,75uM,GC,1159.1833333333334,-0.399,133.33363,75,i2,1.2775956e-8,1.2775956e-8,-0.214,71.666626,4.9629327e-9,4.9629327e-9,7.813023300000001e-9
75uM,control,transfer,3,SWV,10,1162.1833333333334,-0.245,75,i1,1.861086e-6,1.861086e-6,-0.399,1.3700887e-6,1.3700887e-6,4.909973000000002e-7,75uM,GC,1161.8833333333334,-0.399,133.33363,75,i2,1.2037455e-8,1.2037455e-8,-0.198,66.333252,4.7772089e-9,4.7772089e-9,7.2602461e-9
75uM,control,transfer,3,SWV,11,1164.9,-0.21,75,i1,1.8205681e-6,1.8205681e-6,-0.39,1.3670216e-6,1.3670216e-6,4.535465000000001e-7,75uM,GC,1164.6333333333334,-0.399,133.33363,75,i2,8.9552374e-9,8.9552374e-9,-0.217,72.666634,4.4092756e-9,4.4092756e-9,4.545961799999999e-9
75uM,control,transfer,3,SWV,12,1167.6666666666667,-0.244,75,i1,1.7996248e-6,1.7996248e-6,-0.4,1.3463422e-6,1.3463422e-6,4.5328260000000016e-7,75uM,GC,1167.3333333333333,-0.399,133.33363,75,i2,1.0390064e-8,1.0390064e-8,-0.218,72.999969,4.5646447e-9,4.5646447e-9,5.8254193e-9
75uM,control,transfer,3,SWV,13,1170.4666666666667,-0.206,75,i1,1.7712111e-6,1.7712111e-6,-0.399,1.3369754e-6,1.3369754e-6,4.342356999999999e-7,75uM,GC,1170.15,-0.399,133.33363,75,i2,9.4641601e-9,9.4641601e-9,-0.215,71.999962,4.2907322e-9,4.2907322e-9,5.173427899999999e-9
75uM,control,transfer,3,SWV,14,1173.2166666666667,-0.226,75,i1,1.7532692e-6,1.7532692e-6,-0.385,1.3378822e-6,1.3378822e-6,4.1538700000000014e-7,75uM,GC,1172.9,-0.399,133.33363,75,i2,9.8961586e-9,9.8961586e-9,-0.21,70.333282,3.8552197e-9,3.8552197e-9,6.0409389000000005e-9
