PHZadded,treatment,reactor,run,echem_from_swv,rep,minutes_from_swv,E_from_maxs_from_swv,PHZaddedInt,electrode_from_swv,current_from_maxs_from_swv,max_current_from_swv,E_from_mins_from_swv,current_from_mins_from_swv,min_current_from_swv,signal_from_swv,echem_from_gc,minutes_from_gc,E_from_maxs_from_gc,t_from_maxs,electrode_from_gc,current_from_maxs_from_gc,max_current_from_gc,E_from_mins_from_gc,t_from_mins,current_from_mins_from_gc,min_current_from_gc,signal_from_gc
75uM,control,transfer,2,SWV,3,1107.4166666666667,-0.255,75,i1,8.2049985e-7,8.2049985e-7,-0.029,1.6213757e-7,1.6213757e-7,6.5836228e-7,GC,1107.1333333333334,-0.398,166.33313,i2,1.9154873e-8,1.9154873e-8,-0.195,98.666832,5.4032383e-9,5.4032383e-9,1.37516347e-8
75uM,control,transfer,2,SWV,4,1110.4166666666667,-0.259,75,i1,7.8672667e-7,7.8672667e-7,-0.021,1.6294561e-7,1.6294561e-7,6.2378106e-7,GC,1110.1333333333334,-0.399,133.33363,i2,1.6160046e-8,1.6160046e-8,-0.217,72.666634,6.3358518e-9,6.3358518e-9,9.824194199999998e-9
75uM,control,transfer,2,SWV,5,1113.3166666666666,-0.256,75,i1,7.5369564e-7,7.5369564e-7,-0.018,1.6381964e-7,1.6381964e-7,5.89876e-7,GC,1113.0666666666666,-0.399,133.33363,i2,1.2789298e-8,1.2789298e-8,-0.224,74.999985,5.8640732e-9,5.8640732e-9,6.9252248000000005e-9
75uM,control,transfer,2,SWV,6,1116.3833333333334,-0.251,75,i1,7.3553929e-7,7.3553929e-7,-0.029,1.6957492e-7,1.6957492e-7,5.6596437e-7,GC,1116.1166666666666,-0.398,133.00031,i2,1.1339932e-8,1.1339932e-8,-0.23,77,5.5632401e-9,5.5632401e-9,5.7766919000000004e-9
75uM,control,transfer,2,SWV,7,1119.3,-0.248,75,i1,7.1339207e-7,7.1339207e-7,-0.01,1.6485855e-7,1.6485855e-7,5.4853352e-7,GC,1118.8833333333334,-0.397,132.66698,i2,9.8237063e-9,9.8237063e-9,-0.229,76.666664,4.9908113e-9,4.9908113e-9,4.832895e-9
75uM,control,transfer,2,SWV,8,1122.1166666666666,-0.248,75,i1,7.2097788e-7,7.2097788e-7,-0.001,1.6919563e-7,1.6919563e-7,5.517822499999999e-7,GC,1121.8333333333333,-0.399,133.33363,i2,8.8637737e-9,8.8637737e-9,-0.227,75.999992,4.8436699e-9,4.8436699e-9,4.0201038e-9
75uM,control,transfer,3,SWV,0,1159.2,-0.27,75,i1,2.6031391e-6,2.6031391e-6,-0.034,1.7490146000000001e-07,1.7490146000000001e-07,2.42823764e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75uM,control,transfer,3,SWV,9,1184.1,-0.239,75,i1,6.4086555e-7,6.4086555e-7,-0.029,1.6411647e-7,1.6411647e-7,4.767490800000001e-7,GC,1183.8333333333333,-0.398,133.00031,i2,4.1048485e-9,4.1048485e-9,-0.225,75.333321,2.0918411e-9,2.0918411e-9,2.0130074e-9
75uM,control,transfer,3,SWV,10,1186.85,-0.251,75,i1,6.3905156e-7,6.3905156e-7,-0.029,1.6556766e-7,1.6556766e-7,4.734839e-7,GC,1186.5666666666666,-0.399,133.33363,i2,3.9858254e-9,3.9858254e-9,-0.231,77.333336,2.1086162e-9,2.1086162e-9,1.8772091999999997e-9
75uM,control,transfer,3,SWV,11,1189.5833333333333,-0.245,75,i1,6.4599419e-7,6.4599419e-7,-0.004,1.6632623e-7,1.6632623e-7,4.796679600000001e-7,GC,1189.2833333333333,-0.398,133.00031,i2,3.7004095e-9,3.7004095e-9,-0.238,79.666687,2.0699538e-9,2.0699538e-9,1.6304557e-9
75uM,control,transfer,3,SWV,12,1192.3166666666666,-0.242,75,i1,6.3323029e-7,6.3323029e-7,-0.011,1.6860196e-7,1.6860196e-7,4.6462833000000003e-7,GC,1192.0333333333333,-0.397,132.66698,i2,3.5425645e-9,3.5425645e-9,-0.236,79.000015,2.0343267e-9,2.0343267e-9,1.5082377999999999e-9
