# DNA modified electrode Data by Edmund Tse. 
# No oxygen, PCN modified DNA with well matched (wm) or mismatched (mm) duplex DNA.
E,Current,Construct
-0.258,1.99E-08,mm
-0.259,1.99E-08,mm
-0.26,1.99E-08,mm
-0.261,1.99E-08,mm
-0.262,1.99E-08,mm
-0.263,1.99E-08,mm
-0.264,1.99E-08,mm
-0.265,2.00E-08,mm
-0.266,1.99E-08,mm
-0.267,1.99E-08,mm
-0.268,1.99E-08,mm
-0.269,1.99E-08,mm
-0.27,1.99E-08,mm
-0.271,1.99E-08,mm
-0.272,1.99E-08,mm
-0.273,1.99E-08,mm
-0.274,1.99E-08,mm
-0.275,2.00E-08,mm
-0.276,2.00E-08,mm
-0.277,2.00E-08,mm
-0.278,2.00E-08,mm
-0.279,2.00E-08,mm
-0.28,2.01E-08,mm
-0.281,2.01E-08,mm
-0.282,2.01E-08,mm
-0.283,2.01E-08,mm
-0.284,2.01E-08,mm
-0.285,2.01E-08,mm
-0.286,2.01E-08,mm
-0.287,2.01E-08,mm
-0.288,2.01E-08,mm
-0.289,2.02E-08,mm
-0.29,2.02E-08,mm
-0.291,2.02E-08,mm
-0.292,2.02E-08,mm
-0.293,2.02E-08,mm
-0.294,2.02E-08,mm
-0.295,2.03E-08,mm
-0.296,2.04E-08,mm
-0.297,2.04E-08,mm
-0.298,2.04E-08,mm
-0.299,2.04E-08,mm
-0.3,2.04E-08,mm
-0.301,2.04E-08,mm
-0.302,2.05E-08,mm
-0.303,2.05E-08,mm
-0.304,2.05E-08,mm
-0.305,2.05E-08,mm
-0.306,2.05E-08,mm
-0.307,2.05E-08,mm
-0.308,2.06E-08,mm
-0.309,2.07E-08,mm
-0.31,2.08E-08,mm
-0.311,2.08E-08,mm
-0.312,2.08E-08,mm
-0.313,2.08E-08,mm
-0.314,2.09E-08,mm
-0.315,2.10E-08,mm
-0.316,2.10E-08,mm
-0.317,2.11E-08,mm
-0.318,2.11E-08,mm
-0.319,2.11E-08,mm
-0.32,2.12E-08,mm
-0.321,2.12E-08,mm
-0.322,2.13E-08,mm
-0.323,2.14E-08,mm
-0.324,2.15E-08,mm
-0.325,2.16E-08,mm
-0.326,2.16E-08,mm
-0.327,2.16E-08,mm
-0.328,2.16E-08,mm
-0.329,2.17E-08,mm
-0.33,2.18E-08,mm
-0.331,2.20E-08,mm
-0.332,2.21E-08,mm
-0.333,2.22E-08,mm
-0.334,2.23E-08,mm
-0.335,2.25E-08,mm
-0.336,2.25E-08,mm
-0.337,2.26E-08,mm
-0.338,2.26E-08,mm
-0.339,2.27E-08,mm
-0.34,2.28E-08,mm
-0.341,2.30E-08,mm
-0.342,2.31E-08,mm
-0.343,2.32E-08,mm
-0.344,2.34E-08,mm
-0.345,2.35E-08,mm
-0.346,2.36E-08,mm
-0.347,2.38E-08,mm
-0.348,2.39E-08,mm
-0.349,2.41E-08,mm
-0.35,2.43E-08,mm
-0.351,2.44E-08,mm
-0.352,2.45E-08,mm
-0.353,2.47E-08,mm
-0.354,2.48E-08,mm
-0.355,2.50E-08,mm
-0.356,2.51E-08,mm
-0.357,2.53E-08,mm
-0.358,2.54E-08,mm
-0.359,2.56E-08,mm
-0.36,2.58E-08,mm
-0.361,2.60E-08,mm
-0.362,2.61E-08,mm
-0.363,2.63E-08,mm
-0.364,2.64E-08,mm
-0.365,2.66E-08,mm
-0.366,2.67E-08,mm
-0.367,2.69E-08,mm
-0.368,2.71E-08,mm
-0.369,2.72E-08,mm
-0.37,2.74E-08,mm
-0.371,2.75E-08,mm
-0.372,2.77E-08,mm
-0.373,2.78E-08,mm
-0.374,2.79E-08,mm
-0.375,2.81E-08,mm
-0.376,2.82E-08,mm
-0.377,2.82E-08,mm
-0.378,2.84E-08,mm
-0.379,2.85E-08,mm
-0.38,2.87E-08,mm
-0.381,2.88E-08,mm
-0.382,2.89E-08,mm
-0.383,2.89E-08,mm
-0.384,2.90E-08,mm
-0.385,2.91E-08,mm
-0.386,2.92E-08,mm
-0.387,2.92E-08,mm
-0.388,2.92E-08,mm
-0.389,2.93E-08,mm
-0.39,2.94E-08,mm
-0.391,2.95E-08,mm
-0.392,2.95E-08,mm
-0.393,2.95E-08,mm
-0.394,2.95E-08,mm
-0.395,2.96E-08,mm
-0.396,2.97E-08,mm
-0.397,2.97E-08,mm
-0.398,2.97E-08,mm
-0.399,2.97E-08,mm
-0.4,2.98E-08,mm
-0.401,2.98E-08,mm
-0.402,2.98E-08,mm
-0.403,2.98E-08,mm
-0.404,2.97E-08,mm
-0.405,2.98E-08,mm
-0.406,2.98E-08,mm
-0.407,2.98E-08,mm
-0.408,2.98E-08,mm
-0.409,2.97E-08,mm
-0.41,2.98E-08,mm
-0.411,2.98E-08,mm
-0.412,2.98E-08,mm
-0.413,2.99E-08,mm
-0.414,2.99E-08,mm
-0.415,2.99E-08,mm
-0.416,2.99E-08,mm
-0.417,3.00E-08,mm
-0.418,3.00E-08,mm
-0.419,3.00E-08,mm
-0.42,3.01E-08,mm
-0.421,3.01E-08,mm
-0.422,3.01E-08,mm
-0.423,3.01E-08,mm
-0.424,3.01E-08,mm
-0.425,3.02E-08,mm
-0.426,3.03E-08,mm
-0.427,3.03E-08,mm
-0.428,3.03E-08,mm
-0.429,3.04E-08,mm
-0.43,3.04E-08,mm
-0.431,3.05E-08,mm
-0.432,3.05E-08,mm
-0.433,3.06E-08,mm
-0.434,3.07E-08,mm
-0.435,3.08E-08,mm
-0.436,3.08E-08,mm
-0.437,3.09E-08,mm
-0.438,3.09E-08,mm
-0.439,3.10E-08,mm
-0.44,3.11E-08,mm
-0.441,3.12E-08,mm
-0.442,3.13E-08,mm
-0.443,3.14E-08,mm
-0.444,3.15E-08,mm
-0.445,3.16E-08,mm
-0.446,3.17E-08,mm
-0.447,3.17E-08,mm
-0.448,3.18E-08,mm
-0.449,3.17E-08,mm
-0.45,1.86E-08,mm
-0.449,1.18E-08,mm
-0.448,6.69E-09,mm
-0.447,3.30E-09,mm
-0.446,2.31E-09,mm
-0.445,2.29E-09,mm
-0.444,2.36E-09,mm
-0.443,1.92E-09,mm
-0.442,1.57E-09,mm
-0.441,1.24E-09,mm
-0.44,9.34E-10,mm
-0.439,6.07E-10,mm
-0.438,3.32E-10,mm
-0.437,7.35E-11,mm
-0.436,-1.54E-10,mm
-0.435,-3.42E-10,mm
-0.434,-6.01E-10,mm
-0.433,-8.51E-10,mm
-0.432,-1.09E-09,mm
-0.431,-1.31E-09,mm
-0.43,-1.47E-09,mm
-0.429,-1.66E-09,mm
-0.428,-1.84E-09,mm
-0.427,-2.03E-09,mm
-0.426,-2.24E-09,mm
-0.425,-2.39E-09,mm
-0.424,-2.59E-09,mm
-0.423,-2.75E-09,mm
-0.422,-2.88E-09,mm
-0.421,-3.05E-09,mm
-0.42,-3.17E-09,mm
-0.419,-3.33E-09,mm
-0.418,-3.48E-09,mm
-0.417,-3.62E-09,mm
-0.416,-3.76E-09,mm
-0.415,-3.89E-09,mm
-0.414,-4.04E-09,mm
-0.413,-4.15E-09,mm
-0.412,-4.25E-09,mm
-0.411,-4.35E-09,mm
-0.41,-4.39E-09,mm
-0.409,-4.50E-09,mm
-0.408,-4.59E-09,mm
-0.407,-4.73E-09,mm
-0.406,-4.89E-09,mm
-0.405,-5.01E-09,mm
-0.404,-5.15E-09,mm
-0.403,-5.27E-09,mm
-0.402,-5.35E-09,mm
-0.401,-5.45E-09,mm
-0.4,-5.49E-09,mm
-0.399,-5.57E-09,mm
-0.398,-5.67E-09,mm
-0.397,-5.76E-09,mm
-0.396,-5.83E-09,mm
-0.395,-5.90E-09,mm
-0.394,-6.00E-09,mm
-0.393,-6.13E-09,mm
-0.392,-6.27E-09,mm
-0.391,-6.35E-09,mm
-0.39,-6.34E-09,mm
-0.389,-6.36E-09,mm
-0.388,-6.39E-09,mm
-0.387,-6.47E-09,mm
-0.386,-6.59E-09,mm
-0.385,-6.67E-09,mm
-0.384,-6.78E-09,mm
-0.383,-6.87E-09,mm
-0.382,-6.93E-09,mm
-0.381,-6.97E-09,mm
-0.38,-6.98E-09,mm
-0.379,-7.04E-09,mm
-0.378,-7.10E-09,mm
-0.377,-7.17E-09,mm
-0.376,-7.25E-09,mm
-0.375,-7.29E-09,mm
-0.374,-7.37E-09,mm
-0.373,-7.44E-09,mm
-0.372,-7.47E-09,mm
-0.371,-7.51E-09,mm
-0.37,-7.53E-09,mm
-0.369,-7.60E-09,mm
-0.368,-7.65E-09,mm
-0.367,-7.70E-09,mm
-0.366,-7.74E-09,mm
-0.365,-7.76E-09,mm
-0.364,-7.83E-09,mm
-0.363,-7.91E-09,mm
-0.362,-7.98E-09,mm
-0.361,-8.06E-09,mm
-0.36,-8.08E-09,mm
-0.359,-8.12E-09,mm
-0.358,-8.14E-09,mm
-0.357,-8.18E-09,mm
-0.356,-8.22E-09,mm
-0.355,-8.26E-09,mm
-0.354,-8.35E-09,mm
-0.353,-8.42E-09,mm
-0.352,-8.47E-09,mm
-0.351,-8.49E-09,mm
-0.35,-8.47E-09,mm
-0.349,-8.52E-09,mm
-0.348,-8.56E-09,mm
-0.347,-8.62E-09,mm
-0.346,-8.65E-09,mm
-0.345,-8.63E-09,mm
-0.344,-8.68E-09,mm
-0.343,-8.75E-09,mm
-0.342,-8.81E-09,mm
-0.341,-8.88E-09,mm
-0.34,-8.89E-09,mm
-0.339,-8.92E-09,mm
-0.338,-8.96E-09,mm
-0.337,-9.04E-09,mm
-0.336,-9.09E-09,mm
-0.335,-9.10E-09,mm
-0.334,-9.16E-09,mm
-0.333,-9.19E-09,mm
-0.332,-9.20E-09,mm
-0.331,-9.23E-09,mm
-0.33,-9.21E-09,mm
-0.329,-9.28E-09,mm
-0.328,-9.35E-09,mm
-0.327,-9.43E-09,mm
-0.326,-9.47E-09,mm
-0.325,-9.45E-09,mm
-0.324,-9.45E-09,mm
-0.323,-9.48E-09,mm
-0.322,-9.53E-09,mm
-0.321,-9.59E-09,mm
-0.32,-9.61E-09,mm
-0.319,-9.69E-09,mm
-0.318,-9.73E-09,mm
-0.317,-9.78E-09,mm
-0.316,-9.83E-09,mm
-0.315,-9.83E-09,mm
-0.314,-9.92E-09,mm
-0.313,-1.00E-08,mm
-0.312,-1.01E-08,mm
-0.311,-1.02E-08,mm
-0.31,-1.01E-08,mm
-0.309,-1.01E-08,mm
-0.308,-1.02E-08,mm
-0.307,-1.02E-08,mm
-0.306,-1.03E-08,mm
-0.305,-1.03E-08,mm
-0.304,-1.04E-08,mm
-0.303,-1.04E-08,mm
-0.302,-1.05E-08,mm
-0.301,-1.06E-08,mm
-0.3,-1.06E-08,mm
-0.299,-1.07E-08,mm
-0.298,-1.08E-08,mm
-0.297,-1.09E-08,mm
-0.296,-1.09E-08,mm
-0.295,-1.10E-08,mm
-0.294,-1.11E-08,mm
-0.293,-1.12E-08,mm
-0.292,-1.12E-08,mm
-0.291,-1.13E-08,mm
-0.29,-1.13E-08,mm
-0.289,-1.14E-08,mm
-0.288,-1.15E-08,mm
-0.287,-1.16E-08,mm
-0.286,-1.17E-08,mm
-0.285,-1.18E-08,mm
-0.284,-1.19E-08,mm
-0.283,-1.20E-08,mm
-0.282,-1.22E-08,mm
-0.281,-1.23E-08,mm
-0.28,-1.24E-08,mm
-0.279,-1.24E-08,mm
-0.278,-1.25E-08,mm
-0.277,-1.26E-08,mm
-0.276,-1.28E-08,mm
-0.275,-1.29E-08,mm
-0.274,-1.31E-08,mm
-0.273,-1.32E-08,mm
-0.272,-1.33E-08,mm
-0.271,-1.34E-08,mm
-0.27,-1.35E-08,mm
-0.269,-1.37E-08,mm
-0.268,-1.38E-08,mm
-0.267,-1.40E-08,mm
-0.266,-1.42E-08,mm
-0.265,-1.43E-08,mm
-0.264,-1.45E-08,mm
-0.263,-1.47E-08,mm
-0.262,-1.48E-08,mm
-0.261,-1.50E-08,mm
-0.26,-1.51E-08,mm
-0.259,-1.53E-08,mm
-0.258,-1.55E-08,mm
-0.257,-1.57E-08,mm
-0.256,-1.59E-08,mm
-0.255,-1.60E-08,mm
-0.254,-1.62E-08,mm
-0.253,-1.64E-08,mm
-0.252,-1.66E-08,mm
-0.251,-1.68E-08,mm
-0.25,-1.70E-08,mm
-0.249,-1.71E-08,mm
-0.248,-1.73E-08,mm
-0.247,-1.76E-08,mm
-0.246,-1.78E-08,mm
-0.245,-1.79E-08,mm
-0.244,-1.81E-08,mm
-0.243,-1.83E-08,mm
-0.242,-1.85E-08,mm
-0.241,-1.87E-08,mm
-0.24,-1.88E-08,mm
-0.239,-1.90E-08,mm
-0.238,-1.91E-08,mm
-0.237,-1.93E-08,mm
-0.236,-1.94E-08,mm
-0.235,-1.95E-08,mm
-0.234,-1.96E-08,mm
-0.233,-1.97E-08,mm
-0.232,-1.99E-08,mm
-0.231,-2.00E-08,mm
-0.23,-2.01E-08,mm
-0.229,-2.02E-08,mm
-0.228,-2.03E-08,mm
-0.227,-2.03E-08,mm
-0.226,-2.03E-08,mm
-0.225,-2.03E-08,mm
-0.224,-2.03E-08,mm
-0.223,-2.03E-08,mm
-0.222,-2.03E-08,mm
-0.221,-2.03E-08,mm
-0.22,-2.02E-08,mm
-0.219,-2.02E-08,mm
-0.218,-2.01E-08,mm
-0.217,-2.00E-08,mm
-0.216,-1.99E-08,mm
-0.215,-1.98E-08,mm
-0.214,-1.97E-08,mm
-0.213,-1.96E-08,mm
-0.212,-1.94E-08,mm
-0.211,-1.93E-08,mm
-0.21,-1.90E-08,mm
-0.209,-1.88E-08,mm
-0.208,-1.86E-08,mm
-0.207,-1.85E-08,mm
-0.206,-1.85E-08,mm
-0.205,-1.84E-08,mm
-0.204,-1.81E-08,mm
-0.203,-1.78E-08,mm
-0.202,-1.74E-08,mm
-0.201,-1.71E-08,mm
-0.2,-1.67E-08,mm
-0.199,-1.65E-08,mm
-0.198,-1.62E-08,mm
-0.197,-1.60E-08,mm
-0.196,-1.58E-08,mm
-0.195,-1.55E-08,mm
-0.194,-1.53E-08,mm
-0.193,-1.51E-08,mm
-0.192,-1.49E-08,mm
-0.191,-1.47E-08,mm
-0.19,-1.45E-08,mm
-0.189,-1.43E-08,mm
-0.188,-1.41E-08,mm
-0.187,-1.39E-08,mm
-0.186,-1.37E-08,mm
-0.185,-1.36E-08,mm
-0.184,-1.34E-08,mm
-0.183,-1.33E-08,mm
