E,Generator,Collector
-0.159,5.09E-09,-2.16E-09
-0.16,5.10E-09,-2.16E-09
-0.161,5.11E-09,-2.16E-09
-0.162,5.14E-09,-2.15E-09
-0.163,5.15E-09,-2.15E-09
-0.164,5.17E-09,-2.15E-09
-0.165,5.20E-09,-2.15E-09
-0.166,5.21E-09,-2.15E-09
-0.167,5.23E-09,-2.14E-09
-0.168,5.28E-09,-2.14E-09
-0.169,5.30E-09,-2.14E-09
-0.17,5.34E-09,-2.14E-09
-0.171,5.36E-09,-2.14E-09
-0.172,5.39E-09,-2.13E-09
-0.173,5.41E-09,-2.13E-09
-0.174,5.45E-09,-2.13E-09
-0.175,5.48E-09,-2.13E-09
-0.176,5.49E-09,-2.13E-09
-0.177,5.51E-09,-2.13E-09
-0.178,5.53E-09,-2.12E-09
-0.179,5.54E-09,-2.12E-09
-0.18,5.56E-09,-2.12E-09
-0.181,5.57E-09,-2.12E-09
-0.182,5.58E-09,-2.12E-09
-0.183,5.58E-09,-2.11E-09
-0.184,5.59E-09,-2.11E-09
-0.185,5.59E-09,-2.11E-09
-0.186,5.60E-09,-2.10E-09
-0.187,5.61E-09,-2.11E-09
-0.188,5.62E-09,-2.10E-09
-0.189,5.63E-09,-2.10E-09
-0.19,5.63E-09,-2.09E-09
-0.191,5.66E-09,-2.09E-09
-0.192,5.68E-09,-2.09E-09
-0.193,5.69E-09,-2.09E-09
-0.194,5.74E-09,-2.08E-09
-0.195,5.74E-09,-2.08E-09
-0.196,5.76E-09,-2.08E-09
-0.197,5.81E-09,-2.08E-09
-0.198,5.83E-09,-2.08E-09
-0.199,5.86E-09,-2.08E-09
-0.2,5.91E-09,-2.07E-09
-0.201,5.92E-09,-2.07E-09
-0.202,5.96E-09,-2.07E-09
-0.203,5.98E-09,-2.06E-09
-0.204,5.99E-09,-2.06E-09
-0.205,5.97E-09,-2.06E-09
-0.206,6.03E-09,-2.06E-09
-0.207,6.05E-09,-2.06E-09
-0.208,6.06E-09,-2.06E-09
-0.209,6.06E-09,-2.05E-09
-0.21,6.08E-09,-2.05E-09
-0.211,6.08E-09,-2.05E-09
-0.212,6.08E-09,-2.05E-09
-0.213,6.10E-09,-2.05E-09
-0.214,6.10E-09,-2.04E-09
-0.215,6.12E-09,-2.05E-09
-0.216,6.14E-09,-2.04E-09
-0.217,6.14E-09,-2.04E-09
-0.218,6.18E-09,-2.04E-09
-0.219,6.21E-09,-2.04E-09
-0.22,6.24E-09,-2.04E-09
-0.221,6.27E-09,-2.03E-09
-0.222,6.31E-09,-2.03E-09
-0.223,6.34E-09,-2.03E-09
-0.224,6.36E-09,-2.03E-09
-0.225,6.40E-09,-2.03E-09
-0.226,6.44E-09,-2.03E-09
-0.227,6.46E-09,-2.02E-09
-0.228,6.47E-09,-2.02E-09
-0.229,6.51E-09,-2.02E-09
-0.23,6.51E-09,-2.02E-09
-0.231,6.53E-09,-2.01E-09
-0.232,6.55E-09,-2.01E-09
-0.233,6.55E-09,-2.01E-09
-0.234,6.56E-09,-2.01E-09
-0.235,6.57E-09,-2.01E-09
-0.236,6.58E-09,-2.01E-09
-0.237,6.59E-09,-2.00E-09
-0.238,6.60E-09,-2.00E-09
-0.239,6.62E-09,-2.00E-09
-0.24,6.62E-09,-2.00E-09
-0.241,6.64E-09,-2.00E-09
-0.242,6.65E-09,-1.99E-09
-0.243,6.67E-09,-2.00E-09
-0.244,6.68E-09,-1.99E-09
-0.245,6.70E-09,-1.99E-09
-0.246,6.71E-09,-1.99E-09
-0.247,6.72E-09,-1.98E-09
-0.248,6.75E-09,-1.98E-09
-0.249,6.76E-09,-1.98E-09
-0.25,6.79E-09,-1.98E-09
-0.251,6.82E-09,-1.97E-09
