# DNA modified electrode Data by Edmund Tse. 
# The third CV cycle for electrodes with well matched (wm) or mismatched (mm) duplex DNA,
# under aerobic or anaerobic conditions, and with or without PCN covalently attached.
E,Current,Construct,Aerobic,PCN
-0.173,1.52E-08,wm,TRUE,TRUE
-0.174,1.52E-08,wm,TRUE,TRUE
-0.175,1.52E-08,wm,TRUE,TRUE
-0.176,1.53E-08,wm,TRUE,TRUE
-0.177,1.53E-08,wm,TRUE,TRUE
-0.178,1.54E-08,wm,TRUE,TRUE
-0.179,1.55E-08,wm,TRUE,TRUE
-0.18,1.55E-08,wm,TRUE,TRUE
-0.181,1.56E-08,wm,TRUE,TRUE
-0.182,1.56E-08,wm,TRUE,TRUE
-0.183,1.57E-08,wm,TRUE,TRUE
-0.184,1.58E-08,wm,TRUE,TRUE
-0.185,1.58E-08,wm,TRUE,TRUE
-0.186,1.59E-08,wm,TRUE,TRUE
-0.187,1.60E-08,wm,TRUE,TRUE
-0.188,1.60E-08,wm,TRUE,TRUE
-0.189,1.61E-08,wm,TRUE,TRUE
-0.19,1.61E-08,wm,TRUE,TRUE
-0.191,1.63E-08,wm,TRUE,TRUE
-0.192,1.63E-08,wm,TRUE,TRUE
-0.193,1.64E-08,wm,TRUE,TRUE
-0.194,1.65E-08,wm,TRUE,TRUE
-0.195,1.65E-08,wm,TRUE,TRUE
-0.196,1.66E-08,wm,TRUE,TRUE
-0.197,1.67E-08,wm,TRUE,TRUE
-0.198,1.68E-08,wm,TRUE,TRUE
-0.199,1.69E-08,wm,TRUE,TRUE
-0.2,1.69E-08,wm,TRUE,TRUE
-0.201,1.71E-08,wm,TRUE,TRUE
-0.202,1.71E-08,wm,TRUE,TRUE
-0.203,1.73E-08,wm,TRUE,TRUE
-0.204,1.74E-08,wm,TRUE,TRUE
-0.205,1.75E-08,wm,TRUE,TRUE
-0.206,1.76E-08,wm,TRUE,TRUE
-0.207,1.76E-08,wm,TRUE,TRUE
-0.208,1.77E-08,wm,TRUE,TRUE
-0.209,1.78E-08,wm,TRUE,TRUE
-0.21,1.79E-08,wm,TRUE,TRUE
-0.211,1.81E-08,wm,TRUE,TRUE
-0.212,1.82E-08,wm,TRUE,TRUE
-0.213,1.83E-08,wm,TRUE,TRUE
-0.214,1.84E-08,wm,TRUE,TRUE
-0.215,1.85E-08,wm,TRUE,TRUE
-0.216,1.87E-08,wm,TRUE,TRUE
-0.217,1.88E-08,wm,TRUE,TRUE
-0.218,1.89E-08,wm,TRUE,TRUE
-0.219,1.90E-08,wm,TRUE,TRUE
-0.22,1.92E-08,wm,TRUE,TRUE
-0.221,1.93E-08,wm,TRUE,TRUE
-0.222,1.95E-08,wm,TRUE,TRUE
-0.223,1.96E-08,wm,TRUE,TRUE
-0.224,1.98E-08,wm,TRUE,TRUE
-0.225,1.99E-08,wm,TRUE,TRUE
-0.226,2.01E-08,wm,TRUE,TRUE
-0.227,2.02E-08,wm,TRUE,TRUE
-0.228,2.04E-08,wm,TRUE,TRUE
-0.229,2.06E-08,wm,TRUE,TRUE
-0.23,2.08E-08,wm,TRUE,TRUE
-0.231,2.10E-08,wm,TRUE,TRUE
-0.232,2.11E-08,wm,TRUE,TRUE
-0.233,2.13E-08,wm,TRUE,TRUE
-0.234,2.15E-08,wm,TRUE,TRUE
-0.235,2.17E-08,wm,TRUE,TRUE
