treatment,run,rep,reactor,electrode_from_swv,signal_from_swv,electrode_from_gc,signal_from_gc,echem_from_swv,minutes_from_swv,exp_id
control,2,4,transfer,i2,2.168441592e-6,i2,2.47715729e-8,SWV,1028.55,2
control,2,5,transfer,i2,2.1374553880000002e-6,i2,1.83086187e-8,SWV,1031.2666666666667,2
control,2,6,transfer,i2,2.1484876259999996e-6,i2,1.3050597000000001e-8,SWV,1034.4,2
control,2,7,transfer,i2,2.0800509769999997e-6,i2,1.0358920600000001e-8,SWV,1037.1,2
control,2,8,transfer,i2,2.0456510250000003e-6,i2,7.8377886e-9,SWV,1039.8333333333333,2
control,3,0,soak,i2,3.547946783e-6,NA,NA,SWV,1102.15,2
control,3,0,transfer,i2,2.2628351050000004e-6,NA,NA,SWV,1108.9833333333333,2
control,3,9,transfer,i2,2.334866883e-6,i2,1.32978288e-8,SWV,1134.0833333333333,2
control,3,10,transfer,i2,2.364319167e-6,i2,1.1602750500000001e-8,SWV,1136.8166666666666,2
control,3,11,transfer,i2,2.3229275180000003e-6,i2,9.844084399999999e-9,SWV,1139.6333333333334,2
control,3,12,transfer,i2,2.31120233e-6,i2,8.678057000000002e-9,SWV,1142.4,2
control,3,13,transfer,i2,2.238692397e-6,i2,7.405231100000001e-9,SWV,1145.1666666666667,2
control,3,14,transfer,i2,2.229474032e-6,i2,6.470938900000001e-9,SWV,1148,2
control,3,15,transfer,i2,2.183283148e-6,i2,6.3015114000000005e-9,SWV,1150.7666666666667,2
control,3,1,transfer,i2,2.028451019e-6,i2,2.16585909e-7,SWV,1111.8833333333334,2
control,3,2,transfer,i2,2.66326455e-6,i2,1.12767789e-7,SWV,1114.5666666666666,2
control,3,3,transfer,i2,2.525137537e-6,i2,7.491039e-8,SWV,1117.2833333333333,2
control,3,4,transfer,i2,2.438907107e-6,i2,5.0082103e-8,SWV,1120.05,2
control,3,5,transfer,i2,2.319134742e-6,i2,3.6417217e-8,SWV,1122.8666666666666,2
control,3,6,transfer,i2,2.27338919e-6,i2,2.7501113100000004e-8,SWV,1125.8333333333333,2
control,3,7,transfer,i2,2.3487354949999998e-6,i2,2.0454469200000003e-8,SWV,1128.6333333333334,2
control,3,8,transfer,i2,2.3494445630000003e-6,i2,1.66024381e-8,SWV,1131.3833333333334,2
psoralen,4,0,soak,i1,2.27855944e-6,NA,NA,SWVslow,1193.9,2
psoralen,4,0,transfer,i1,5.9077268e-7,NA,NA,SWVslow,1199.5166666666667,2
psoralen,4,9,transfer,i1,3.657666999999999e-8,i2,7.8478609e-9,SWVslow,1227.7333333333333,2
psoralen,4,10,transfer,i1,3.3999640000000004e-8,i2,6.414057999999999e-9,SWVslow,1231.1666666666667,2
psoralen,4,11,transfer,i1,3.387800999999999e-8,i2,6.669925700000001e-9,SWVslow,1234.2666666666667,2
psoralen,4,12,transfer,i1,3.49173e-8,i2,5.8998408e-9,SWVslow,1238.0333333333333,2
psoralen,4,13,transfer,i1,2.406948999999998e-8,i2,5.0444287e-9,SWVslow,1241.5833333333333,2
psoralen,4,1,transfer,i1,2.4561985999999997e-7,i2,1.230601758e-7,SWVslow,1202.7333333333333,2
psoralen,4,2,transfer,i1,1.0789407000000002e-7,i2,4.40601338e-8,SWVslow,1205.7666666666667,2
psoralen,4,3,transfer,i1,6.715128999999998e-8,i2,2.52987269e-8,SWVslow,1208.9666666666667,2
psoralen,4,4,transfer,i1,5.1522650000000005e-8,i2,1.81098585e-8,SWVslow,1211.9833333333333,2
psoralen,4,5,transfer,i1,3.445672000000002e-8,i2,1.42225647e-8,SWVslow,1215.3333333333333,2
psoralen,4,6,transfer,i1,4.396875000000001e-8,i2,1.21439524e-8,SWVslow,1218.3,2
psoralen,4,7,transfer,i1,3.803052000000001e-8,i2,9.6457871e-9,SWVslow,1221.6666666666667,2
psoralen,4,8,transfer,i1,3.8213579999999986e-8,i2,8.8238206e-9,SWVslow,1224.7166666666667,2
psoralen,5,0,soak,i1,2.1100019700000003e-6,NA,NA,SWVslow,1277.7333333333333,2
psoralen,5,0,transfer,i1,5.5123814e-7,NA,NA,SWVslow,1282.6,2
psoralen,5,9,transfer,i1,4.1074059999999994e-8,i2,9.2405368e-9,SWVslow,1310.3,2
psoralen,5,10,transfer,i1,4.091580999999999e-8,i2,7.882725e-9,SWVslow,1313.2833333333333,2
psoralen,5,11,transfer,i1,4.289283999999999e-8,i2,8.925813e-9,SWVslow,1316.2333333333333,2
psoralen,5,1,transfer,i1,1.7218726999999998e-7,i2,9.43117816e-8,SWVslow,1285.9666666666667,2
psoralen,5,1,transfer,i1,1.7218726999999998e-7,i2,9.43117816e-8,SWVslow,1285.9666666666667,2
psoralen,5,2,transfer,i1,7.585671000000002e-8,i2,4.0316784300000005e-8,SWVslow,1289.1,2
psoralen,5,3,transfer,i1,6.512582e-8,i2,2.3588374200000003e-8,SWVslow,1292.0833333333333,2
psoralen,5,4,transfer,i1,5.545906999999998e-8,i2,2.04789656e-8,SWVslow,1295,2
psoralen,5,5,transfer,i1,5.7499890000000003e-8,i2,1.8473272300000002e-8,SWVslow,1297.9833333333333,2
psoralen,5,6,transfer,i1,4.872953e-8,i2,1.3968115199999998e-8,SWVslow,1300.9,2
psoralen,5,7,transfer,i1,4.214644000000002e-8,i2,1.24483943e-8,SWVslow,1304.2,2
psoralen,5,8,transfer,i1,4.246649000000001e-8,i2,1.2831189699999998e-8,SWVslow,1307.2,2
psoralen,4,0,soak,i2,2.30887058e-6,NA,NA,SWVslow,1193.9,2
psoralen,4,0,transfer,i2,5.9344631e-7,NA,NA,SWVslow,1199.5166666666667,2
psoralen,4,9,transfer,i2,5.570981000000001e-8,i2,7.8478609e-9,SWVslow,1227.7333333333333,2
psoralen,4,10,transfer,i2,5.416851000000001e-8,i2,6.414057999999999e-9,SWVslow,1231.1666666666667,2
psoralen,4,11,transfer,i2,5.746883999999997e-8,i2,6.669925700000001e-9,SWVslow,1234.2666666666667,2
psoralen,4,12,transfer,i2,4.5432419999999994e-8,i2,5.8998408e-9,SWVslow,1238.0333333333333,2
psoralen,4,13,transfer,i2,6.936753e-8,i2,5.0444287e-9,SWVslow,1241.5833333333333,2
psoralen,4,1,transfer,i2,2.7437027999999994e-7,i2,1.230601758e-7,SWVslow,1202.7333333333333,2
psoralen,4,2,transfer,i2,1.3236229e-7,i2,4.40601338e-8,SWVslow,1205.7666666666667,2
psoralen,4,3,transfer,i2,1.0271032e-7,i2,2.52987269e-8,SWVslow,1208.9666666666667,2
psoralen,4,4,transfer,i2,8.467392999999999e-8,i2,1.81098585e-8,SWVslow,1211.9833333333333,2
psoralen,4,5,transfer,i2,8.447928000000003e-8,i2,1.42225647e-8,SWVslow,1215.3333333333333,2
psoralen,4,6,transfer,i2,6.689700000000002e-8,i2,1.21439524e-8,SWVslow,1218.3,2
psoralen,4,7,transfer,i2,5.723577999999999e-8,i2,9.6457871e-9,SWVslow,1221.6666666666667,2
psoralen,4,8,transfer,i2,5.898944999999999e-8,i2,8.8238206e-9,SWVslow,1224.7166666666667,2
psoralen,5,0,soak,i2,2.1362672499999998e-6,NA,NA,SWVslow,1277.7333333333333,2
psoralen,5,0,transfer,i2,5.559345199999999e-7,NA,NA,SWVslow,1282.6,2
psoralen,5,9,transfer,i2,6.843348000000001e-8,i2,9.2405368e-9,SWVslow,1310.3,2
psoralen,5,10,transfer,i2,6.327906e-8,i2,7.882725e-9,SWVslow,1313.2833333333333,2
psoralen,5,11,transfer,i2,6.126060000000001e-8,i2,8.925813e-9,SWVslow,1316.2333333333333,2
psoralen,5,1,transfer,i2,2.1385918e-7,i2,9.43117816e-8,SWVslow,1285.9666666666667,2
psoralen,5,2,transfer,i2,1.1835948999999999e-7,i2,4.0316784300000005e-8,SWVslow,1289.1,2
psoralen,5,3,transfer,i2,9.555773000000001e-8,i2,2.3588374200000003e-8,SWVslow,1292.0833333333333,2
psoralen,5,4,transfer,i2,8.004193000000003e-8,i2,2.04789656e-8,SWVslow,1295,2
psoralen,5,5,transfer,i2,8.496636000000003e-8,i2,1.8473272300000002e-8,SWVslow,1297.9833333333333,2
psoralen,5,6,transfer,i2,7.065390000000003e-8,i2,1.3968115199999998e-8,SWVslow,1300.9,2
psoralen,5,7,transfer,i2,7.109340999999997e-8,i2,1.24483943e-8,SWVslow,1304.2,2
psoralen,5,8,transfer,i2,6.579635000000001e-8,i2,1.2831189699999998e-8,SWVslow,1307.2,2
control,1,0,soak,i1,6.628396e-6,NA,NA,SWV,919.7833333333333,3
control,1,0,transfer,i1,2.9294864e-6,NA,NA,SWV,922.9166666666666,3
control,1,9,transfer,i1,3.459555000000001e-7,i2,2.3286416600000005e-8,SWV,948.4833333333333,3
control,1,10,transfer,i1,3.1318320000000007e-7,i2,1.91412434e-8,SWV,951.2,3
control,1,11,transfer,i1,2.9369299999999985e-7,i2,1.7986711399999998e-8,SWV,953.8833333333333,3
control,1,12,transfer,i1,2.8923579999999997e-7,i2,1.57497317e-8,SWV,956.6,3
control,1,13,transfer,i1,2.5902949999999984e-7,i2,1.3406152299999998e-8,SWV,959.3333333333334,3
control,1,14,transfer,i1,2.5686690000000003e-7,i2,1.3352378e-8,SWV,962.0833333333334,3
control,1,15,transfer,i1,2.435026e-7,i2,1.20566123e-8,SWV,964.8333333333334,3
control,1,1,transfer,i1,1.0355485e-6,i2,1.35401481e-7,SWV,925.8,3
control,1,2,transfer,i1,7.302329000000001e-7,i2,7.715330299999999e-8,SWV,928.6166666666667,3
control,1,3,transfer,i1,6.241685e-7,i2,6.406931799999999e-8,SWV,931.45,3
control,1,4,transfer,i1,5.195735000000001e-7,i2,4.8246313999999995e-8,SWV,934.5166666666667,3
control,1,5,transfer,i1,4.992134999999999e-7,i2,4.2594777e-8,SWV,937.6333333333333,3
control,1,6,transfer,i1,3.841893e-7,i2,3.1182497100000005e-8,SWV,940.3333333333334,3
control,1,7,transfer,i1,4.079170999999999e-7,i2,3.2911758199999996e-8,SWV,943.0666666666667,3
control,1,8,transfer,i1,3.6604549999999985e-7,i2,2.6024491899999998e-8,SWV,945.7833333333333,3
control,2,0,soak,i1,6.6433216e-6,NA,NA,SWV,987.4833333333333,3
control,2,0,transfer,i1,5.607605e-6,NA,NA,SWV,991.1666666666666,3
control,2,9,transfer,i1,2.9472140000000003e-7,i2,1.1484724600000001e-8,SWV,1016.6166666666667,3
control,2,10,transfer,i1,2.767231999999999e-7,i2,6.8889192e-9,SWV,1019.7166666666667,3
control,2,11,transfer,i1,2.425539000000001e-7,i2,5.9027969e-9,SWV,1022.4666666666667,3
control,2,12,transfer,i1,2.3921680000000014e-7,i2,4.895873e-9,SWV,1025.2166666666667,3
control,2,13,transfer,i1,2.2916410000000007e-7,i2,7.3953356000000005e-9,SWV,1027.9666666666667,3
control,2,14,transfer,i1,2.3049850000000002e-7,i2,7.268879e-9,SWV,1030.5833333333333,3
control,2,15,transfer,i1,2.0340070000000003e-7,i2,5.1689945e-9,SWV,1033.3666666666666,3
control,2,1,transfer,i1,1.5430255999999998e-6,i2,1.4893929e-7,SWV,994.1166666666667,3
control,2,2,transfer,i1,9.886744999999998e-7,i2,7.18838478e-8,SWV,997.3666666666667,3
control,2,3,transfer,i1,5.834412e-7,i2,3.61004698e-8,SWV,1000.2666666666667,3
control,2,4,transfer,i1,4.816195999999999e-7,i2,2.6007946699999998e-8,SWV,1002.9666666666667,3
control,2,5,transfer,i1,4.063727000000001e-7,i2,1.80316202e-8,SWV,1005.7166666666667,3
control,2,6,transfer,i1,3.5715890000000014e-7,i2,1.56498663e-8,SWV,1008.4166666666666,3
control,2,7,transfer,i1,3.2065960000000015e-7,i2,1.0926425400000001e-8,SWV,1011.2166666666667,3
control,2,8,transfer,i1,2.840257e-7,i2,8.4563887e-9,SWV,1013.9166666666666,3
control,3,0,soak,i1,5.0390610000000006e-6,NA,NA,SWV,1131.2166666666667,3
control,3,0,transfer,i1,3.2420258e-6,NA,NA,SWV,1134.15,3
control,3,9,transfer,i1,5.012543e-7,i2,7.813023300000001e-9,SWV,1159.4333333333334,3
control,3,10,transfer,i1,4.909973000000002e-7,i2,7.2602461e-9,SWV,1162.1833333333334,3
control,3,11,transfer,i1,4.535465000000001e-7,i2,4.545961799999999e-9,SWV,1164.9,3
control,3,12,transfer,i1,4.5328260000000016e-7,i2,5.8254193e-9,SWV,1167.6666666666667,3
control,3,13,transfer,i1,4.342356999999999e-7,i2,5.173427899999999e-9,SWV,1170.4666666666667,3
control,3,14,transfer,i1,4.1538700000000014e-7,i2,6.0409389000000005e-9,SWV,1173.2166666666667,3
control,3,15,transfer,i1,4.125174000000001e-7,i2,5.1914819000000005e-9,SWV,1176.0166666666667,3
control,3,1,transfer,i1,1.3631955e-6,i2,1.2603767099999998e-7,SWV,1137.1,3
control,3,2,transfer,i1,1.0863975000000001e-6,i2,7.7018136e-8,SWV,1139.9166666666667,3
control,3,3,transfer,i1,8.575546000000001e-7,i2,3.76723916e-8,SWV,1142.6333333333334,3
control,3,4,transfer,i1,7.598796000000002e-7,i2,2.8941930299999998e-8,SWV,1145.3333333333333,3
control,3,5,transfer,i1,6.655686999999998e-7,i2,1.7508930000000002e-8,SWV,1148.05,3
control,3,6,transfer,i1,6.326365000000001e-7,i2,1.52516455e-8,SWV,1151.1166666666666,3
control,3,7,transfer,i1,5.661787e-7,i2,1.12776346e-8,SWV,1153.85,3
control,3,8,transfer,i1,5.277056e-7,i2,1.04366433e-8,SWV,1156.6833333333334,3
control,3,NA,transfer,i1,1.0786607000000001e-7,NA,NA,SWVslow,1179.4333333333334,3
control,1,0,soak,i2,6.1830401799999996e-6,NA,NA,SWV,919.7833333333333,3
control,1,0,transfer,i2,2.68750329e-6,NA,NA,SWV,922.9166666666666,3
control,1,9,transfer,i2,2.7261176399999997e-6,i2,2.3286416600000005e-8,SWV,948.4833333333333,3
control,1,10,transfer,i2,2.7238988400000003e-6,i2,1.91412434e-8,SWV,951.2,3
control,1,11,transfer,i2,2.733003e-6,i2,1.7986711399999998e-8,SWV,953.8833333333333,3
control,1,12,transfer,i2,2.66810069e-6,i2,1.57497317e-8,SWV,956.6,3
control,1,13,transfer,i2,2.65288482e-6,i2,1.3406152299999998e-8,SWV,959.3333333333334,3
control,1,14,transfer,i2,2.6459330700000003e-6,i2,1.3352378e-8,SWV,962.0833333333334,3
control,1,15,transfer,i2,2.64759543e-6,i2,1.20566123e-8,SWV,964.8333333333334,3
control,1,1,transfer,i2,1.54766177e-6,i2,1.35401481e-7,SWV,925.8,3
control,1,2,transfer,i2,2.35842996e-6,i2,7.715330299999999e-8,SWV,928.6166666666667,3
control,1,3,transfer,i2,2.38642521e-6,i2,6.406931799999999e-8,SWV,931.45,3
control,1,4,transfer,i2,2.67042389e-6,i2,4.8246313999999995e-8,SWV,934.5166666666667,3
control,1,5,transfer,i2,2.83696941e-6,i2,4.2594777e-8,SWV,937.6333333333333,3
control,1,6,transfer,i2,2.84773803e-6,i2,3.1182497100000005e-8,SWV,940.3333333333334,3
control,1,7,transfer,i2,2.69352554e-6,i2,3.2911758199999996e-8,SWV,943.0666666666667,3
control,1,8,transfer,i2,2.74502844e-6,i2,2.6024491899999998e-8,SWV,945.7833333333333,3
control,2,0,soak,i2,5.55646764e-6,NA,NA,SWV,987.4833333333333,3
control,2,0,transfer,i2,4.15072591e-6,NA,NA,SWV,991.1666666666666,3
control,2,9,transfer,i2,2.2541131999999998e-6,i2,1.1484724600000001e-8,SWV,1016.6166666666667,3
control,2,10,transfer,i2,2.24269395e-6,i2,6.8889192e-9,SWV,1019.7166666666667,3
control,2,11,transfer,i2,2.1980224300000002e-6,i2,5.9027969e-9,SWV,1022.4666666666667,3
control,2,12,transfer,i2,2.07310757e-6,i2,4.895873e-9,SWV,1025.2166666666667,3
control,2,13,transfer,i2,2.05654886e-6,i2,7.3953356000000005e-9,SWV,1027.9666666666667,3
control,2,14,transfer,i2,2.02812739e-6,i2,7.268879e-9,SWV,1030.5833333333333,3
control,2,15,transfer,i2,2.0213528199999998e-6,i2,5.1689945e-9,SWV,1033.3666666666666,3
control,2,1,transfer,i2,2.2114908e-6,i2,1.4893929e-7,SWV,994.1166666666667,3
control,2,2,transfer,i2,2.4745836999999997e-6,i2,7.18838478e-8,SWV,997.3666666666667,3
control,2,3,transfer,i2,2.33465345e-6,i2,3.61004698e-8,SWV,1000.2666666666667,3
control,2,4,transfer,i2,2.28286765e-6,i2,2.6007946699999998e-8,SWV,1002.9666666666667,3
control,2,5,transfer,i2,2.23927231e-6,i2,1.80316202e-8,SWV,1005.7166666666667,3
control,2,6,transfer,i2,2.2653814299999997e-6,i2,1.56498663e-8,SWV,1008.4166666666666,3
control,2,7,transfer,i2,2.31423009e-6,i2,1.0926425400000001e-8,SWV,1011.2166666666667,3
control,2,8,transfer,i2,2.2643439800000004e-6,i2,8.4563887e-9,SWV,1013.9166666666666,3
control,3,0,soak,i2,6.4989263e-6,NA,NA,SWV,1131.2166666666667,3
control,3,0,transfer,i2,4.439126e-6,NA,NA,SWV,1134.15,3
control,3,9,transfer,i2,2.0772806000000004e-6,i2,7.813023300000001e-9,SWV,1159.4333333333334,3
control,3,10,transfer,i2,2.08902186e-6,i2,7.2602461e-9,SWV,1162.1833333333334,3
control,3,11,transfer,i2,2.0013075e-6,i2,4.545961799999999e-9,SWV,1164.9,3
control,3,12,transfer,i2,1.9625208300000002e-6,i2,5.8254193e-9,SWV,1167.6666666666667,3
control,3,13,transfer,i2,1.9406211e-6,i2,5.173427899999999e-9,SWV,1170.4666666666667,3
control,3,14,transfer,i2,1.87479e-6,i2,6.0409389000000005e-9,SWV,1173.2166666666667,3
control,3,15,transfer,i2,1.7660660200000003e-6,i2,5.1914819000000005e-9,SWV,1176.0166666666667,3
control,3,1,transfer,i2,2.7104776999999997e-6,i2,1.2603767099999998e-7,SWV,1137.1,3
control,3,2,transfer,i2,2.85114449e-6,i2,7.7018136e-8,SWV,1139.9166666666667,3
control,3,3,transfer,i2,2.70450821e-6,i2,3.76723916e-8,SWV,1142.6333333333334,3
control,3,4,transfer,i2,2.6753359499999998e-6,i2,2.8941930299999998e-8,SWV,1145.3333333333333,3
control,3,5,transfer,i2,2.465919e-6,i2,1.7508930000000002e-8,SWV,1148.05,3
control,3,6,transfer,i2,2.3365158799999996e-6,i2,1.52516455e-8,SWV,1151.1166666666666,3
control,3,7,transfer,i2,2.20666732e-6,i2,1.12776346e-8,SWV,1153.85,3
control,3,8,transfer,i2,2.1596188600000003e-6,i2,1.04366433e-8,SWV,1156.6833333333334,3
control,3,NA,transfer,i2,4.478059000000003e-8,NA,NA,SWVslow,1179.4333333333334,3
control,4,9,transfer,i1,7.709531e-8,i2,1.03294429e-8,SWVslow,1241.95,3
control,4,10,transfer,i1,6.435585000000001e-8,i2,7.2101605e-9,SWVslow,1245.0166666666667,3
control,4,11,transfer,i1,6.674418e-8,i2,5.0587991000000005e-9,SWVslow,1248.0333333333333,3
control,4,12,transfer,i1,6.336261999999993e-8,i2,5.6813136000000004e-9,SWVslow,1251.1166666666666,3
control,4,2,transfer,i1,2.3472533999999997e-7,i2,4.66400174e-8,SWVslow,1215.7333333333333,3
control,4,3,transfer,i1,1.7194451999999992e-7,i2,3.8198970200000004e-8,SWVslow,1219.0333333333333,3
control,4,4,transfer,i1,1.2300342000000005e-7,i2,1.9647111e-8,SWVslow,1222.3,3
control,4,5,transfer,i1,1.1712847999999998e-7,i2,2.4464748200000003e-8,SWVslow,1225.9833333333333,3
control,4,6,transfer,i1,8.664552e-8,i2,1.1726486000000001e-8,SWVslow,1232.6,3
control,4,7,transfer,i1,7.525432000000004e-8,i2,1.00613616e-8,SWVslow,1235.6666666666667,3
control,4,8,transfer,i1,7.899046999999995e-8,i2,8.002102799999999e-9,SWVslow,1238.85,3
control,4,9,transfer,i2,1.7726719999999995e-7,i2,1.03294429e-8,SWVslow,1241.95,3
control,4,10,transfer,i2,1.6364753999999998e-7,i2,7.2101605e-9,SWVslow,1245.0166666666667,3
control,4,11,transfer,i2,1.6169074e-7,i2,5.0587991000000005e-9,SWVslow,1248.0333333333333,3
control,4,12,transfer,i2,1.5491051e-7,i2,5.6813136000000004e-9,SWVslow,1251.1166666666666,3
control,4,2,transfer,i2,3.2700412999999995e-7,i2,4.66400174e-8,SWVslow,1215.7333333333333,3
control,4,3,transfer,i2,2.7117534e-7,i2,3.8198970200000004e-8,SWVslow,1219.0333333333333,3
control,4,4,transfer,i2,2.3503367000000003e-7,i2,1.9647111e-8,SWVslow,1222.3,3
control,4,5,transfer,i2,2.1586203000000003e-7,i2,2.4464748200000003e-8,SWVslow,1225.9833333333333,3
control,4,6,transfer,i2,2.3195426e-7,i2,1.1726486000000001e-8,SWVslow,1232.6,3
control,4,7,transfer,i2,1.8906086999999995e-7,i2,1.00613616e-8,SWVslow,1235.6666666666667,3
control,4,8,transfer,i2,1.8354627e-7,i2,8.002102799999999e-9,SWVslow,1238.85,3
psoralen,1,0,soak,i1,3.71440469e-6,NA,NA,SWV,939.5333333333333,3
psoralen,1,0,transfer,i1,2.91425478e-6,NA,NA,SWV,942.1333333333333,3
psoralen,1,9,transfer,i1,1.0471658999999999e-7,i2,7.0330636000000004e-9,SWV,967.3,3
psoralen,1,10,transfer,i1,1.1251675000000001e-7,i2,6.0605094000000004e-9,SWV,970.1166666666667,3
psoralen,1,11,transfer,i1,9.943953000000001e-8,i2,6.0719329e-9,SWV,972.8666666666667,3
psoralen,1,12,transfer,i1,9.1458e-8,i2,4.550035399999999e-9,SWV,975.6333333333333,3
psoralen,1,13,transfer,i1,9.058397999999999e-8,i2,4.2388986e-9,SWV,978.4333333333333,3
psoralen,1,1,transfer,i1,4.4523517999999997e-7,i2,8.76320407e-8,SWV,945.1666666666666,3
psoralen,1,2,transfer,i1,2.5872419999999997e-7,i2,4.29704375e-8,SWV,947.8833333333333,3
psoralen,1,3,transfer,i1,1.9267854000000003e-7,i2,2.66637987e-8,SWV,950.65,3
psoralen,1,4,transfer,i1,1.574047e-7,i2,1.86315804e-8,SWV,953.3833333333333,3
psoralen,1,5,transfer,i1,1.3933076999999998e-7,i2,1.44797537e-8,SWV,956.1,3
psoralen,1,6,transfer,i1,1.3062363e-7,i2,1.1810919100000001e-8,SWV,958.8833333333333,3
psoralen,1,7,transfer,i1,1.2493433000000003e-7,i2,9.688794399999999e-9,SWV,961.6333333333333,3
psoralen,1,8,transfer,i1,1.1629314000000003e-7,i2,8.1564342e-9,SWV,964.35,3
psoralen,2,0,soak,i1,4.77073979e-6,NA,NA,SWV,1086.2666666666667,3
psoralen,2,0,transfer,i1,2.8276121100000003e-6,NA,NA,SWV,1088.9833333333333,3
psoralen,2,9,transfer,i1,3.277712e-7,i2,4.9007141e-9,SWV,1114.6166666666666,3
psoralen,2,10,transfer,i1,2.2269181999999998e-7,i2,4.346018699999999e-9,SWV,1117.4333333333334,3
psoralen,2,11,transfer,i1,2.1848666e-7,i2,3.9317547e-9,SWV,1120.3,3
psoralen,2,12,transfer,i1,2.1861854000000003e-7,i2,3.3199440999999997e-9,SWV,1123.6,3
psoralen,2,1,transfer,i1,5.4294328e-7,i2,7.432893170000001e-8,SWV,1092.0333333333333,3
psoralen,2,2,transfer,i1,2.9384956000000005e-7,i2,2.85974842e-8,SWV,1094.7666666666667,3
psoralen,2,3,transfer,i1,2.4005669000000006e-7,i2,1.74397514e-8,SWV,1097.4833333333333,3
psoralen,2,4,transfer,i1,2.1073595000000002e-7,i2,1.21980256e-8,SWV,1100.2,3
psoralen,2,5,transfer,i1,3.2437413e-7,i2,9.7626856e-9,SWV,1102.9333333333334,3
psoralen,2,6,transfer,i1,3.3675877000000004e-7,i2,8.118011099999999e-9,SWV,1105.65,3
psoralen,2,7,transfer,i1,3.604395200000001e-7,i2,6.954939999999999e-9,SWV,1108.3333333333333,3
psoralen,2,8,transfer,i1,3.3359242e-7,i2,6.0120215e-9,SWV,1111.0833333333333,3
psoralen,3,0,soak,i1,6.1848839e-6,NA,NA,SWV,1157.5166666666667,3
psoralen,3,0,transfer,i1,1.5564503e-6,NA,NA,SWV,1160.7166666666667,3
psoralen,3,1,transfer,i1,3.9873789999999994e-7,i2,2.33632339e-8,SWV,1163.6333333333334,3
psoralen,3,2,transfer,i1,2.5018830000000007e-7,i2,8.08162807e-9,SWV,1166.7166666666667,3
psoralen,3,3,transfer,i1,2.2855699999999968e-7,i2,4.58575852e-9,SWV,1170.8666666666666,3
psoralen,3,4,transfer,i1,2.896724999999997e-7,i2,3.17748324e-9,SWV,1174.5333333333333,3
psoralen,3,5,transfer,i1,3.6107730000000005e-7,i2,2.90211565e-9,SWV,1177.1833333333334,3
psoralen,3,6,transfer,i1,3.7961810000000016e-7,i2,2.2911064000000005e-9,SWV,1181.8833333333334,3
psoralen,3,7,transfer,i1,4.437769999999999e-7,i2,2.0643124e-9,SWV,1184.5333333333333,3
psoralen,3,8,transfer,i1,4.7085269999999996e-7,i2,2.0607665000000002e-9,SWV,1187.25,3
psoralen,4,0,soak,i1,6.2962045e-6,NA,NA,SWV,1223.7,3
psoralen,4,0,soak,i1,2.01850733e-6,NA,NA,SWVslow,1223.3,3
psoralen,4,0,transfer,i1,1.3890156e-7,NA,NA,SWVslow,1228.7833333333333,3
psoralen,4,9,transfer,i1,1.2339439999999997e-8,i2,1.4777671999999999e-9,SWVslow,1256.85,3
psoralen,4,10,transfer,i1,1.314964e-8,i2,1.312074e-9,SWVslow,1259.8666666666666,3
psoralen,4,11,transfer,i1,9.481349999999977e-9,i2,1.2824097000000002e-9,SWVslow,1264.4833333333333,3
psoralen,4,12,transfer,i1,1.3668119999999999e-8,i2,1.1844355e-9,SWVslow,1267.75,3
psoralen,4,1,transfer,i1,6.908583999999999e-8,i2,1.31706117e-8,SWVslow,1232.1166666666666,3
psoralen,4,2,transfer,i1,4.7432159999999996e-8,i2,7.3074077e-9,SWVslow,1235.3333333333333,3
psoralen,4,3,transfer,i1,2.9119590000000007e-8,i2,3.7990103e-9,SWVslow,1238.5833333333333,3
psoralen,4,4,transfer,i1,1.965127000000002e-8,i2,3.2969669000000003e-9,SWVslow,1241.6666666666667,3
psoralen,4,5,transfer,i1,1.4949560000000004e-8,i2,2.0725848e-9,SWVslow,1244.6333333333334,3
psoralen,4,6,transfer,i1,1.1420609999999995e-8,i2,2.0906669999999996e-9,SWVslow,1247.6333333333334,3
psoralen,4,7,transfer,i1,1.1914290000000003e-8,i2,1.6058782e-9,SWVslow,1250.65,3
psoralen,4,8,transfer,i1,1.2807150000000005e-8,i2,1.6687518000000002e-9,SWVslow,1253.8833333333334,3
psoralen,1,0,soak,i2,3.537029685e-6,NA,NA,SWV,939.5333333333333,3
psoralen,1,0,transfer,i2,2.702859097e-6,NA,NA,SWV,942.1333333333333,3
psoralen,1,9,transfer,i2,7.66805865e-7,i2,7.0330636000000004e-9,SWV,967.3,3
psoralen,1,10,transfer,i2,7.63144828e-7,i2,6.0605094000000004e-9,SWV,970.1166666666667,3
psoralen,1,11,transfer,i2,7.08725166e-7,i2,6.0719329e-9,SWV,972.8666666666667,3
psoralen,1,12,transfer,i2,7.12897384e-7,i2,4.550035399999999e-9,SWV,975.6333333333333,3
psoralen,1,13,transfer,i2,6.63177627e-7,i2,4.2388986e-9,SWV,978.4333333333333,3
psoralen,1,1,transfer,i2,6.06779111e-7,i2,8.76320407e-8,SWV,945.1666666666666,3
psoralen,1,2,transfer,i2,7.4576355e-7,i2,4.29704375e-8,SWV,947.8833333333333,3
psoralen,1,3,transfer,i2,8.53432031e-7,i2,2.66637987e-8,SWV,950.65,3
psoralen,1,4,transfer,i2,8.0607045e-7,i2,1.86315804e-8,SWV,953.3833333333333,3
psoralen,1,5,transfer,i2,8.50348239e-7,i2,1.44797537e-8,SWV,956.1,3
