treatment,run,rep,reactor,electrode_from_swv,signal_from_swv,electrode_from_gc,signal_from_gc,echem_from_swv,minutes_from_swv,exp_id
control,2,9,transfer,i2,1.30551088e-6,i2,3.4875347e-9,SWV,1124.9,1
control,2,10,transfer,i2,1.23349555e-6,i2,3.371067399999999e-9,SWV,1127.6166666666666,1
control,2,11,transfer,i2,1.20509834e-6,i2,3.092762e-9,SWV,1130.2666666666667,1
control,2,12,transfer,i2,1.1843364200000002e-6,i2,3.0225460000000005e-9,SWV,1132.95,1
control,2,13,transfer,i2,1.10077765e-6,i2,2.538226e-9,SWV,1136.4333333333334,1
control,2,14,transfer,i2,1.08552355e-6,i2,2.4076206e-9,SWV,1139.2833333333333,1
control,2,15,transfer,i2,1.0351771300000001e-6,i2,2.2577632999999997e-9,SWV,1142.05,1
control,2,1,transfer,i2,2.2700579999999998e-6,i2,4.65714018e-8,SWV,1100.6833333333334,1
control,2,2,transfer,i2,2.0731741e-6,i2,2.00473161e-8,SWV,1103.9,1
control,2,3,transfer,i2,1.99828956e-6,i2,1.3721120699999998e-8,SWV,1107.4166666666667,1
control,2,4,transfer,i2,1.8214256500000001e-6,i2,9.824194199999998e-9,SWV,1110.4166666666667,1
control,2,5,transfer,i2,1.6082324600000001e-6,i2,6.9252248000000005e-9,SWV,1113.3166666666666,1
control,2,6,transfer,i2,1.53352908e-6,i2,5.7752539e-9,SWV,1116.3833333333334,1
control,2,7,transfer,i2,1.5288129100000001e-6,i2,4.8303388000000005e-9,SWV,1119.3,1
control,2,8,transfer,i2,1.4238983300000001e-6,i2,4.0201038e-9,SWV,1122.1166666666666,1
control,3,0,transfer,i2,1.85424235e-6,NA,NA,SWV,1159.2,1
control,3,9,transfer,i2,7.8906854e-7,i2,2.0075753000000004e-9,SWV,1184.1,1
control,3,10,transfer,i2,7.923499999999999e-7,i2,1.8772091999999997e-9,SWV,1186.85,1
control,3,11,transfer,i2,7.5701036e-7,i2,1.6259027e-9,SWV,1189.5833333333333,1
control,3,12,transfer,i2,7.3976087e-7,i2,1.5048027e-9,SWV,1192.3166666666666,1
control,3,13,transfer,i2,7.391836199999999e-7,i2,1.4116612e-9,SWV,1195.4,1
control,3,14,transfer,i2,7.382436400000001e-7,i2,1.4153359000000001e-9,SWV,1198.0833333333333,1
control,3,15,transfer,i2,7.3046017e-7,i2,1.2635615000000002e-9,SWV,1200.8,1
control,3,1,transfer,i2,1.14357131e-6,i2,3.3444517399999994e-8,SWV,1162.1166666666666,1
control,3,2,transfer,i2,1.05565865e-6,i2,1.24939057e-8,SWV,1164.9333333333334,1
control,3,3,transfer,i2,1.0342041900000001e-6,i2,7.9381979e-9,SWV,1167.8,1
control,3,4,transfer,i2,9.216050600000001e-7,i2,5.5633289000000005e-9,SWV,1170.4666666666667,1
control,3,5,transfer,i2,9.1215584e-7,i2,3.871364300000001e-9,SWV,1173.1166666666666,1
control,3,6,transfer,i2,8.533330399999999e-7,i2,3.3610031999999997e-09,SWV,1175.8,1
control,3,7,transfer,i2,8.7355084e-7,i2,2.8105414999999997e-9,SWV,1178.6,1
control,3,8,transfer,i2,8.455163400000001e-7,i2,2.2937101e-9,SWV,1181.3833333333334,1
psoralen,1,0,soak,i1,7.692171239999999e-6,NA,NA,SWV,929.9833333333333,1
psoralen,1,1,soak,i1,7.361123830000001e-6,NA,NA,SWV,938.4166666666666,1
psoralen,2,0,soak,i1,5.98035982e-6,NA,NA,SWV,1111.7166666666667,1
psoralen,3,0,soak,i1,5.15115326e-6,NA,NA,SWV,1173.8666666666666,1
psoralen,1,0,transfer,i1,5.899201470000001e-6,NA,NA,SWV,952.2166666666667,1
psoralen,1,9,transfer,i1,5.1757453e-7,i2,9.830863700000002e-9,SWV,987.3833333333333,1
psoralen,1,10,transfer,i1,4.5920461e-7,i2,7.361771399999999e-9,SWV,991.1666666666666,1
psoralen,1,1,transfer,i1,1.71799946e-6,i2,1.51036348e-7,SWV,956.2333333333333,1
psoralen,1,2,transfer,i1,1.17094241e-6,i2,6.4206171e-8,SWV,960.1833333333333,1
psoralen,1,3,transfer,i1,9.5699782e-7,i2,4.0113862e-8,SWV,964.0833333333334,1
psoralen,1,4,transfer,i1,7.813007700000001e-7,i2,2.5803013000000004e-8,SWV,968.1,1
psoralen,1,5,transfer,i1,6.6939427e-7,i2,1.936142e-8,SWV,971.9166666666666,1
psoralen,1,6,transfer,i1,6.325253600000001e-7,i2,1.72761922e-8,SWV,975.75,1
psoralen,1,7,transfer,i1,5.709609699999999e-7,i2,1.3125111199999999e-8,SWV,979.5666666666667,1
psoralen,1,8,transfer,i1,6.452843500000001e-7,i2,1.1304257199999999e-8,SWV,983.5666666666667,1
psoralen,2,0,transfer,i1,7.628659660000001e-6,NA,NA,SWV,1114.8666666666666,1
psoralen,2,9,transfer,i1,3.1029986000000004e-7,i2,4.2959724999999996e-9,SWV,1140.45,1
psoralen,2,10,transfer,i1,2.9850588999999996e-7,i2,4.2789541e-9,SWV,1143.45,1
psoralen,2,11,transfer,i1,2.8996101e-7,i2,3.7830557e-9,SWV,1146.1166666666666,1
psoralen,2,12,transfer,i1,2.7194647999999993e-7,i2,3.7263268000000005e-9,SWV,1149.3,1
psoralen,2,13,transfer,i1,2.692095799999999e-7,i2,3.0471265999999997e-9,SWV,1152.0166666666667,1
psoralen,2,14,transfer,i1,2.613508e-7,i2,2.2320142e-9,SWV,1154.7,1
psoralen,2,15,transfer,i1,2.4627133000000005e-7,i2,2.1985693000000004e-9,SWV,1157.4166666666667,1
psoralen,2,1,transfer,i1,1.3374971500000001e-6,i2,9.027712400000001e-8,SWV,1118.0666666666666,1
psoralen,2,2,transfer,i1,8.680746299999999e-7,i2,3.8720362e-8,SWV,1120.8333333333333,1
psoralen,2,3,transfer,i1,6.512519799999999e-7,i2,2.21355449e-8,SWV,1123.55,1
